Include,SESSION_ID,ResponseId,Consent,Q1,Q2,Q3,Q4,Strategy_open,Strategy_mc,IndependentWriting_mc,StoryGen_freq_mc,StoryGen_type_mc
1,66e024555a493332126efdb8,R_2G1cvocEgxet2xf,"Yes, I would like to participate","I had to put some diesel into my car as I was going on a long trip and needed to make sure that I was able to get there as quickly as possible without refuelling.  I went to the petrol station to get the diesel but there was a commotion happening at the pump that was free.  A crowd of people were gathered around all looking down towards the ground.  I got out of my car to see what was happening and what did I see, but a tiny kitten!!! Ginger and white and crying so loudly for all the size of it!! It was so cute but goodness, where did it come from?  .","My mother said she never gets any post anymore, that everything is by email or phone call!! So I decided to give her a surprise and write her a little letter.  I could send it on the way home from work and she would get it hopefully in a few days.  I got out my notecards and sent a little hello from me and quickly put it in the envelope.  Oh no, I needed a stamp!! ",Our local church had received a letter from the council to let them know that the organ that is played regularly at the church services needed to comply with regulation for health and safety reasons.  The minister asked me if I knew anyone who could possibly help with this as he didn't know the first thing about it!! I asked my friend who worked at the Empire theatre in the town if she knew anyone who perhaps would be able to do it.  Luckily we found someone!!!  Thank goodness!!!,"It was a day full of despair and gloom, I felt so down thinking about the payment that was missing from my bank account.  It was causing so much bother at home and I just didn't know what to do about it.  Did I imagine it? Did it really exist? Did someone hack into my account?",I found this very easy as I have an active imagination and the ideas just came to me quickly!! it was fun!!,"I first came up with a story related to the required words and then adjusted the story iteratively to make it more creative.,I aimed to put each required word in a new sentence.,I tried to think of a unique conflict or problem the character had to solve.",I wrote the stories completely on my own.,Almost daily.,"I enjoy telling engaging stories about daily life to others.,I like to imagine / daydream about different story lines, exploring what if scenarios."
1,66e0240be0dd226b008a8ded,R_2zUqf0C1wjV8ASQ,"Yes, I would like to participate","The motor coughed, jerked and the warning light flashed, jeez outta gas! It's a good five miles to the next town and its blowing a blizzard out there. This weather is due to set in for weeks, so I can't stay here. I've got a tank of diesel in the trunk for the tractor, so I'll have to use that. It'll ruin the petrol engine, but at least it will get me to the next town, or at least most of the way there. Hopefully they will will be able to pump and flush the engine before it is completely ruined.","It's time to sell the collection. I'll send an email to the dealer and see if they are interested in my collection of ""completes"" from Tonga. My collection consists of circa 500 of the latter, all of which date back to the latter half of the 19th century and as you know ""complete"", means envelope, letter and stamp(s), so it should be a valuable lot","Donation is mandatory for the empire to survive. Some will not comply, but forcible removal of an organ is traumatic and often leads to severe mental illness. We learn this in our early years, so most are ready for the procedure, but some do question. We have to keep our best and most talented alive for as long as possible if we are to find a solution to ","The gloom continues to persist. We exist with it. It's the only way. It is after all payment for the way we treated our planet. There is no solution now, other than for nature to take its course. We like other species are dying out. It's a slow process. Some like me know there is a future, like there has been before. It's just that we won't be there to see it. For now w","I thought about things I was familiar with /  felt I could write about and then considered about how I could weave in the required words which fulfilled the overall brief. At first it was difficult to weave the required words, but got easier as I allowed my imagination to wander.","I first came up with a story related to the required words and then adjusted the story iteratively to make it more creative.,I tried to think of a unique conflict or problem the character had to solve.,I thought of a story and then worked the words into it.",I wrote the stories completely on my own.,Almost never.,Other.
1,66e038507807340020eec6bb,R_8bVpeztZaqiDial,"Yes, I would like to participate","I wanted to have some fun while I was off work. I wanted to make a rocket so I got some petrol. I was lucky as I nearly get diesel. Anyway, I put a few drops of petrol in a plastic bottle and used a pump to vapourise the petrol. I put a match to the nosel of the bottle and it shot into the air.",I received a letter the other day and I took off the stamp. The stamp looked as though it had not been used so I put it on a letter to send to a friend but when he got it he was fined for re-using the stamp.,I am very good at playing the organ such that I was invited to play at a ceremony for the giving of medals. When it came to the empire medal I had to play specific music to comply with the requirements of the ceremony,It was that time of year when there was a lot of gloom around. This was because it was time for the payment of council tax. A new rule meant that even if you did not have a house if you exist then you pay.,I came up with a theme first and yes it was difficult to find uncommon connections,"I first came up with a story related to the required words and then adjusted the story iteratively to make it more creative.,Brainstormed about novel ways to combine the required words.,I thought of a story and then worked the words into it.",I wrote the stories completely on my own.,Almost never.,Other.
1,66e024af27d8f99b3abe683a,R_8VKNz0tY7nY6fDq,"Yes, I would like to participate",I was wearing my favourite pumps. I managed to walk through diesel  and get it on the sole of one pump and leave footprints all over my friend's carpet. It's impossible to get out. Even worse than petrol.,My friend asked me to post a letter. I said no. I didn't expect it to send her into a rage and make her stamp her feet.,"I went to the Empire comedy club. They still have the old performing organ from when it was a dance hall. i wanted to play the organ, but they said no and I wanted to comply with their rules.","I am waiting for a payment for a quilt I made, based on existential pinciples - I used colours to reflect what it means to exist. But I worry that it's too dark and suggests gloom rather than joy.",I didn't find it difficult. I didn't have steps either. i let one word spark my imagination and then tried to see how to include the other words.,"Brainstormed about novel ways to combine the required words.,Thought about metaphorical or abstract meanings for the words.",I wrote the stories completely on my own.,One or more times a month.,"I enjoy telling engaging stories about daily life to others.,I like to imagine / daydream about different story lines, exploring what if scenarios.,I like to journal about my thoughts / reflections on daily life."
1,66e024b4df7381e68c0a9f4d,R_8kEPJucbd4CbnFO,"Yes, I would like to participate","Whenever I thought of him. It was always with a sense of pain and contemplation. Did he really have to travel that night? Into the eerie void. With little concern that the choices he made to fill up at the station and take the precarious route would ensure his finality. We were told the car went up in flames when he crashed into the oak tree. His petrol tank was full. The tree remained stoic. It could have been diesel, it would have made little difference to the outcome. We told him not to leave. To drive to the petrol station. It's ironic. That a pump. A vessel used so commonly could be the source of his demise. I could not view the mangled metal visage","I wanted the passport to escape. To escape from a country where my liberties would be impeded. I had already spent months trying to fulfil their pre-requisites. The accompanying letter had been sent with the passport application a week earlier, but now in the High Commission office, they were telling me that my application was not complete. Not satisfactory. I would have to re-send it but more than that they required a personalised stamp from the solicitor who had attested to the fact they knew me. How very drole I thought. Perhaps ironic that even the British passport office did not expect me to jump through such hoops. I wondered if the process was worth the effort. Should I stay after all?","He would not listen, Intransigent in his beliefs that the country is which he lived was justified in his imperial conquest of the world. An empire of beliefs. An empire where the sun never set. He did not understand the absurdity of his supremacism, and in his own limited mind believe that there was nothing wrong in bending the will of others he saw as beneath him - comply or be repressed. Comply or be subdued. Like a festering organ, he disgorged his retrograde beliefs and I wondered if I ever really knew him at all. Was this what others thought? Believed. That some men were meant to rule others by virtue of some unknown inherent sense of superiority?  The friendship would be forever broken. I was certain of this. ","She sat behind her computer screen staring into the emptiness. There was a sense of foreboding and an existential question she could not help but ask herself. Why do I exist? For what purpose and will my life ever change for the better.  The despair was encompassing. She shook her heads and then her arms outwards as if to shake off the gloom of realising that her life was purposeless. Again she asked, were her misfortunes payment for some previous ill lived life - cosmic karma. She got up off of her chair moving slowly towards the front door to listen to the bristle of  empty silence. This was her life she thought. It would never agbe replete again with joy.","The task was a little difficult as I am ordinarily hopeless with writing stories from prompts. The stories were auto-fiction with parts based on aspects of my life or the life of people that I knew, so I drew upon internal experiences to write the stories. I was more conscious of the fact that I did not want to use the words in conventional ways and was trying to come up with creative and unusual ways in which to apply them. The stamp, letter etc one was actually based on an event last week when I was actually applying for a passport by descent from my mother's country of birth and they did precisely what I wrote in the story - ie - make me jump through hoops to apply for it. So much was based on life experiences.","I aimed to put each required word in a new sentence.,Brainstormed about novel ways to combine the required words.,Thought about metaphorical or abstract meanings for the words.,I thought of a story and then worked the words into it.",I wrote the stories completely on my own.,One or more times a week.,"Story writing/telling is part of my job or study.,Other."
1,66e024fd08c8645fe246fca4,R_8FjH6e5PsshRtjr,"Yes, I would like to participate","I fell asleep with the price of petrol on my mind. Why? When I don't even drive a car? I went to work as usual on the bus but I could not get the question "" Which is best for the environment petrol or diesel? out of my mind"" As we passed the Petrol station I saw that the pump was surrounded by protestors.  I wondered if I should  join them?.","""Stamp your name up in the stars!"" Was it an old song a friend of mine used to sing? I tried to remember his name, but it was gone in the mist of time. My memory was getting worse, then I remembered the last letter he sent me. Did I send a reply?","The mighty Roman empire we learned about in school. I knew that I needed to write an essay on it to comply with my qualification requirements, but I didn't really want to. Surely somewhere in my brain I could find a way of wriggling out of it. After all they keep telling us what a wonderful organ our brain is.","I exist to enjoy myself not for mundane tasks. I go outside to enjoy the sea view and breathe in the air. I could never live in an environment that was filled with gloom. I would travel, experience life, meet interesting people and entice someone else to make the necessary payment.","It was hard to relate the words, but I have done something similar when I did a short creative writing course. I tried to start as far away from the topic as possible, I picked one word and used it in a random sentence and then weaves the other words into unusual sentences loosely linked to the first sentence.","I tried to think of a concept or theme totally unrelated to the required words.,I aimed to put each required word in a new sentence.,I tried to think of a unique conflict or problem the character had to solve.",I wrote the stories completely on my own.,Almost daily.,"I come up with (bedtime) stories for children.,I like to imagine / daydream about different story lines, exploring what if scenarios."
1,66e0265dfed1b125af55facb,R_2PoZkpFOhTZwzbR,"Yes, I would like to participate","Marly stood staring at the petrol pump. ""What the bloody hell do I put in this thing? There's no way to tell if it's petrol or diesel! I'll just try diesel in this hole at the back."". The horse's eyes grew huge and it neighed loudly. ","It was 2040 and Marly was sat at the breakfast table with her robot. ""Many years ago, we could only send a letter if we had a stamp. Nobody uses stamps any more.""","The church organ had even survived the many years of the British Empire. But, now it was earmarked for destruction and the Father had to comply. ","The dark grey skies gave a sense of gloom to Marly as she walked to the market. She made her payment and walked home with her 4 green apples. ""Am I just born to exist?"", she asked herself. ","Created a character and read the restrictions and thought about how to avoid them. Separated each one of the three words and thought about linking them in ways that did not break the rules, but still successfully create a storyline. ","I tried to think of a concept or theme totally unrelated to the required words.,I tried to come up with a novel character.,I aimed to put each required word in a new sentence.,I tried to think of a unique conflict or problem the character had to solve.,Brainstormed about novel ways to combine the required words.,Thought about metaphorical or abstract meanings for the words.",I wrote the stories completely on my own.,Almost never.,Other.
1,66e0243ae5fdf30dbc993976,R_2BoHBhJy5N6y8ZX,"Yes, I would like to participate","What happens when you put diesel into a petrol car? My friend and I decided to find out. He has a petrol car, and I a deisel one, and so we swopped fuels and strated the engine. We had to use our feet to pump the accelerator before anything happened. All seemed to be well, so we wondered why. It turned out we'd forgotten which car was which, and so each vehicle had its correct fuel.",I was angry. A great stamp of the feet. The first letter of my name had come out wrong on my new monogram logo. I'll have to send it back.,"My favourire bodily organ is my right eye. With it, I can see the whole vista of the empire when I stand at the highest point of the island. The laws of optics suggest it shouldn't be so, but in magic worlds eyes don't have to comply with the laws of terrestial physics ","It was a dark and strmy night: Stygian gloom everywhere. My ATM card had been refused again - I wouldn't be able to make the cash payment the gang was demanding. There wasa gun to my head. I was sure I would be killed, and wondered what it was like to cease to exist.",I tried to make an uncommon connection between the words each time; it got a bit easier with the later prompts. Using some of the words as verbs rather than nouns helped.,"I first came up with a story related to the required words and then adjusted the story iteratively to make it more creative.,Thought about metaphorical or abstract meanings for the words.",I wrote the stories completely on my own.,Every few months.,"I like to imagine / daydream about different story lines, exploring what if scenarios."
1,66e0249839a5c9c38fc3db1b,R_27dw4UbFh02oLUB,"Yes, I would like to participate","There was a beautiful car. It had a shiny exterior with beautiful and intricate paintwork. Its interior was luxurious. It was unknown at first whether petrol or diesel would fuel the car. It was discovered through research, rather than just to pump the car with either petrol or diesel, that the car runs on petrol.",Stamp prices are really expensive. There was a letter that was received by someone and they were interested in how much it cost the sender to send it. They researched how much the specific stamp used cost the sender and they were shocked at the price. They remember when stamps used to be really cheap. It made them realise one of the reasons why less letters are sent by post.,In an empire someone heard music. They followed the sound and it lead them to someone else playing music on an organ instrument. The person playing the organ was having lessons from a music teacher and did comply with what they were told to play on the instrument. The music was beautiful. The musician was very talented.,"The weather was dull and gave a sense of gloom. Someone was buying products in a shop, gave their payment for the products to a cashier then left the shop. As they were walking outside it started to rain. Raindrops appeared to exist",I came up with the stories through how I could use all the words and make connections with the words. I came up with a theme before any characters in general. I did find some of the words difficult to find connections and use in the stories.,"Thought about metaphorical or abstract meanings for the words.,I thought of a story and then worked the words into it.",I wrote the stories completely on my own.,Every few months.,Other.
1,66e024fe5466a97ad466bb9e,R_87z2b4sr7in6R21,"Yes, I would like to participate","She glanced at the red fuel warning on the dashboard and noticed the petrol was on the verge of running out. She swore under her breath - her boyfriend had promised to fill up with diesel the night before but, as usual he had forgotten. She remembered he came home, going on about how pumped he was for the concert tonight. His band hadn't been together that long and already they had several bookings. Trouble was, she was driving the van with their instruments and now she probably wasn't going to make it to the venue - he only had himself to blame.","He tore up the letter into small pieces and threw it on the ground, stamping it into the mud for good measure. He felt his face redden with anger and conciously tried to calm himself down. To be honest though, the reponse he had got was enough to send anyone into a rage. He glanced up and saw the group of girls across the street, giggling and whispering, making no effort to disguise their behaviour. That was the last time he followed his therapist's idea of expressing his feelings in writing to a girl he liked. ","The prince swept his fingers dramatically across the keyboard, enjoying the sounds of the organ reverberating around the empty church. He turned around to face the empty pews and barely contained his urge to start throwing the bouquets around the empty space. He didn't feel the need to comply with social norms right now, but still had to maintain a public face if he were to inherit his father's empire. So much for the princess though, she had decided it was all too quick a romance and she 'needed time to think', whatever that meant. And what was he to do in the meantime, just sit and wait?","She opened the door to the castle and, as if she were in a storybook, it creaked ominously. She peered into the gloom, looking around for a light switch, but of course it wouldn't have worked anyway. How could someone exist in such a cold, dark dwelling these days? ""Hello?"" she called out, ""I'm here to collect your energy payment, so we can get you connected again."" Suddenly there was a swish of fabric and an elderly gentleman in a long black cape appeared as though from nowhere saying ""Oh, you are the one who will pay.""","Due to the time limit I felt the need to just start and work it out as I went along, there wasn't really time to plan the story. I usually took one or two of the words to give me an idea and then tried to fit in the other one in a more unusual way, such as someone being pumped/excited for a concert rather than the more conventional meaning. I always started with a person doing something as it felt the easiest way to get going and then work out what would happen after. I then had to quickly describe their situation and come up with some sort of resolution, or at least a reason for them being in that situation.","I tried to think of a unique conflict or problem the character had to solve.,Brainstormed about novel ways to combine the required words.",I wrote the stories completely on my own.,One or more times a month.,"I like to imagine / daydream about different story lines, exploring what if scenarios."
