result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_interestingness
4d1708e8a2d6,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",811,136,86,60,5,0.6323529411764706,4.875,161.4,27.2,24.0,0,0,0,18,0,0,18,0.21102064962440964,0.009854619609077658,"[0.008436317557777295, 0.007031632539553495, 0.0033953658535949005, 0.0008459232672296257]","[0.6323529411764706, 0.9407407407407408, 0.9850746268656716, 0.9924812030075187, 1.0]","[0.08823529411764706, 0.37037037037037035, 0.6865671641791045, 0.8345864661654135, 0.9166666666666666]",3.2,6,3.1225645443532106,9,10.6,14,68.00268421052633,11.326526315789476,0.22781951101726697,0.1401272033249593,0.09503886482848614,0.04228524164008035,0.13101901371186084,0.1151344214457819,0.11811578790540922,0.0563045014505801,0.00685802737080754,0.07692307692307693,0.012793080012003577
ea62cd5b6cdb,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",791,132,95,59,5,0.7196969696969697,4.886363636363637,157.4,26.4,25.2,0,0,0,13,2,0,15,0.20997439240378152,0.011752628523205952,"[0.008920832664247536, 0.0042896980549389785, 0.004704574722073446, 0.005590151605151944]","[0.7196969696969697, 0.9847328244274809, 1.0, 1.0, 1.0]","[0.08333333333333333, 0.3282442748091603, 0.6461538461538462, 0.8682170542635659, 0.9609375]",2.2,3,3.307240503355212,9,10.6,14,69.11584210526318,11.171263157894739,0.21878787878787878,0.13303030303030303,0.1396969696969697,0.06333333333333334,0.11818181818181818,0.1296969696969697,0.11151515151515151,0.05001641874727995,0.008950541812063784,0.25,0.018083059787750266
6d8b06e240ea,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",758,126,88,60,5,0.6984126984126984,4.920634920634921,150.8,25.2,22.4,0,0,0,14,0,0,14,0.2125359595832178,0.006239744639029099,"[0.008644072094348948, 6.857736683113513e-05, 0.0009774191257281295, 0.0027894206911499853]","[0.6984126984126984, 0.976, 1.0, 1.0, 1.0]","[0.09523809523809523, 0.384, 0.6693548387096774, 0.8373983739837398, 0.9344262295081968]",3.2,7,3.497294347959162,10,10.4,14,70.17378873239439,10.526845070422535,0.21239249639249638,0.16832611832611832,0.09004425204425204,0.03299182299182299,0.11826647426647427,0.1250966810966811,0.1202058682058682,0.05302897484406181,0.0038274074531912117,0.07692307692307693,0.012793080012003577
2570bf7d4ebe,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",655,111,84,51,5,0.7567567567567568,4.801801801801802,130.2,22.2,20.6,0,0,0,12,0,0,12,0.21281896703383502,0.007997476155795755,"[0.008920832664247536, 0.0030352397914572837, 0.00046307020115129993, 0.00357580965473539]","[0.7567567567567568, 0.990909090909091, 1.0, 1.0, 1.0]","[0.10810810810810811, 0.45454545454545453, 0.7431192660550459, 0.8888888888888888, 0.9439252336448598]",2.4,4,3.0724673124430693,9,10.2,14,72.49520000000001,9.3584,0.20053140096618358,0.15217391304347827,0.0811111111111111,0.043333333333333335,0.10516908212560386,0.11405797101449275,0.15386473429951691,0.05007788927658745,0.0032613925519567877,0.07692307692307693,0.00629303455352781
6bfc2e587ab2,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",735,128,92,56,5,0.71875,4.671875,146.2,25.6,23.2,0,0,0,16,0,0,16,0.21094402020627803,0.007897069719102645,"[0.008644072094348948, 0.002712058298515535, 0.001506298961061442, 0.0029317100842793653]","[0.71875, 0.984251968503937, 1.0, 1.0, 1.0]","[0.0859375, 0.3228346456692913, 0.5634920634920635, 0.744, 0.8467741935483871]",1.8,3,3.3067315938252504,10,9.8,13,66.59914084507044,11.02543661971831,0.23377250768555116,0.10849099692577953,0.12853549992680427,0.04552861952861953,0.13330581174059436,0.1313078612209047,0.12942702386180646,0.04651552438735962,0.007011286207070755,0.25,0.024737695852915464
99caaf22ae9c,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",794,133,91,61,5,0.6842105263157895,4.857142857142857,158.0,26.6,24.0,0,0,0,14,0,0,14,0.2133850749073133,0.00869875094683907,"[0.008920832664247536, 0.0017666256908095423, 0.004497571305914244, 0.002212472232706819]","[0.6842105263157895, 0.9696969696969697, 1.0, 1.0, 1.0]","[0.09022556390977443, 0.3787878787878788, 0.7022900763358778, 0.8769230769230769, 0.9767441860465116]",2.8,5,3.55684514885277,9,10.4,14,68.05087417218544,11.270119205298016,0.20929510155316608,0.15277658303464756,0.09766547192353645,0.05533333333333333,0.1048363201911589,0.1456726403823178,0.12631780167264037,0.059225885764412255,0.0021291768050002435,0.07692307692307693,0.018083059787750266
ee1ef526c0b5,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",722,116,83,56,5,0.7155172413793104,5.112068965517241,143.6,23.2,22.0,0,0,0,9,0,0,9,0.21112789782610808,0.027934030949811395,"[0.0069283080823493715, 0.015852463606632117, 0.02000035135260908, 0.013086938858032221]","[0.7155172413793104, 0.9652173913043478, 1.0, 1.0, 1.0]","[0.10344827586206896, 0.3565217391304348, 0.6666666666666666, 0.8584070796460177, 0.9553571428571429]",3.2,4,3.1216390284560154,8,9.6,13,70.42848120300755,10.04415037593985,0.26456709956709956,0.18387445887445888,0.06822510822510822,0.036233766233766236,0.1054978354978355,0.11826839826839827,0.11978354978354978,0.059601827808048416,0.00664353096741066,0.25,0.007397178808848048
9a71cdf585dc,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",603,101,80,49,5,0.7920792079207921,4.811881188118812,119.8,20.2,19.4,1,0,0,11,0,1,11,0.21270566636405022,0.017836257664844257,"[0.014998185634613026, 0.010246430502997506, 0.009605114989810537, 0.0008227842022674459]","[0.7920792079207921, 0.99, 1.0, 1.0, 1.0]","[0.1188118811881188, 0.46, 0.8484848484848485, 0.9285714285714286, 0.9690721649484536]",3.0,5,2.789466452631006,6,8.4,10,80.19266115702482,8.086016528925622,0.2463408521303258,0.15929824561403508,0.06857142857142857,0.06010025062656642,0.1181453634085213,0.0981453634085213,0.0980952380952381,0.07119949745095294,0.0034879938915263753,0.25,0.0036049922307332394
913bb3c4273f,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",883,149,99,69,5,0.6644295302013423,4.8389261744966445,175.8,29.8,26.8,0,0,0,19,0,0,19,0.21223341028911885,0.012825195946814485,"[0.008920832664247536, 0.0018427678516932944, 0.004287542861883709, 0.010599248515804433]","[0.6644295302013423, 0.9662162162162162, 1.0, 1.0, 1.0]","[0.0738255033557047, 0.3310810810810811, 0.6258503401360545, 0.8424657534246576, 0.9379310344827586]",3.2,5,3.5664107244522607,11,11.2,14,61.94528571428572,12.966380952380955,0.24944444444444444,0.1324537037037037,0.12078703703703704,0.029583333333333333,0.1375462962962963,0.10805555555555556,0.11689814814814814,0.051967965519946556,0.004432506041389117,0.07692307692307693,0.018083059787750266
f1998bcdc0b7,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",650,108,78,51,5,0.7222222222222222,4.925925925925926,129.2,21.6,20.0,0,0,0,14,0,0,14,0.2147135342803656,0.011041842840999808,"[0.008644072094348948, 0.005220009660943131, 0.0009609846940963063, 0.00725861923261123]","[0.7222222222222222, 0.9813084112149533, 1.0, 1.0, 1.0]","[0.1111111111111111, 0.42990654205607476, 0.7358490566037735, 0.8666666666666667, 0.9326923076923077]",2.6,4,3.179859558440518,10,9.2,13,77.31965853658538,8.586113821138216,0.26355555555555554,0.1388888888888889,0.08303703703703703,0.017407407407407406,0.12237037037037037,0.09155555555555556,0.1557037037037037,0.05127480496530947,0.0005277419411043871,0.07692307692307693,0.018083059787750266
