result_id,model_id,item_id,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_n_gram_diversity,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
d74caddb80be,claude-3-5-sonnet-20240620_t1.0_p0.7,stamp-letter-send,783,126,87,64,5,5.111111111111111,155.8,25.2,23.0,0.21519068321065296,0.02076337997005498,"[0.6293706293706294, 0.9577464788732394, 0.9858156028368794, 0.9928571428571429, 1.0]",0.0750083565711975,0.0023892223617693054,0.3333333333333333
7ca79d32a6eb,claude-3-5-sonnet-20240620_t0.9_p0.3,stamp-letter-send,796,132,94,61,5,4.916666666666667,158.4,26.4,24.2,0.21257603220600899,0.00845193248938901,"[0.66, 0.9731543624161074, 1.0, 1.0, 1.0]",0.0539204478263855,0.002840079647518645,0.125
6bfc2e587ab2,claude-3-5-sonnet-20240620_t0.5_p1.0,stamp-letter-send,735,128,92,56,5,4.671875,146.2,25.6,23.2,0.21094402020627803,0.007897069719102645,"[0.676056338028169, 0.9787234042553191, 1.0, 1.0, 1.0]",0.04349448340279716,0.006104103646980552,0.2
45b729c8b17d,claude-3-5-sonnet-20240620_t0.0_p1.0,stamp-letter-send,799,133,94,60,5,4.894736842105263,159.0,26.6,24.4,0.21172876085265208,0.01089146345083028,"[0.6556291390728477, 0.9733333333333334, 1.0, 1.0, 1.0]",0.054783703599657334,0.004534622354232465,0.125
7bce9126bc25,claude-3-5-sonnet-20240620_t0.5_p0.9,stamp-letter-send,776,121,89,62,5,5.322314049586777,154.4,24.2,22.6,0.21235614271153855,0.016939523547581173,"[0.6838235294117647, 0.9925925925925926, 1.0, 1.0, 1.0]",0.06161713089261736,0.0032798586364595206,0.2
286463a59554,claude-3-5-sonnet-20240620_t0.7_p0.5,stamp-letter-send,717,113,82,58,5,5.265486725663717,142.6,22.6,20.4,0.21252649016475506,0.01574861300098787,"[0.68, 0.9838709677419355, 1.0, 1.0, 1.0]",0.05882034982953753,0.002939163730026506,0.2
99caaf22ae9c,claude-3-5-sonnet-20240620_t0.3_p0.7,stamp-letter-send,794,133,91,61,5,4.857142857142857,158.0,26.6,24.0,0.2133850749073133,0.00869875094683907,"[0.6357615894039735, 0.9533333333333334, 1.0, 1.0, 1.0]",0.05146927322660174,0.0012219942449100407,0.125
8fe7561771a1,claude-3-5-sonnet-20240620_t0.3_p0.3,stamp-letter-send,807,140,92,57,5,4.678571428571429,160.6,28.0,25.8,0.21072694801148914,0.01438274051762932,"[0.6037735849056604, 0.9620253164556962, 1.0, 1.0, 1.0]",0.045624804496765134,0.006538248036558336,0.09090909090909091
02d637c7945f,claude-3-5-sonnet-20240620_t0.0_p0.9,stamp-letter-send,767,130,87,53,5,4.792307692307692,152.6,26.0,23.6,0.21180217549832017,0.008149756958778676,"[0.6148648648648649, 0.9387755102040817, 0.9794520547945206, 0.993103448275862, 1.0]",0.03763458217893328,0.0043877930628962725,0.125
33f700e257a3,claude-3-5-sonnet-20240620_t1.0_p0.9,stamp-letter-send,794,135,92,59,5,4.8,158.0,27.0,23.6,0.21226352916552546,0.027010577694330268,"[0.64, 0.9463087248322147, 0.9932432432432432, 1.0, 1.0]",0.05505966118403843,0.003465085728485695,0.2
65f79d37e7a3,claude-3-5-sonnet-20240620_t1.0_p0.5,stamp-letter-send,807,138,98,62,5,4.768115942028985,160.6,27.6,25.2,0.21140099451190136,0.017264518684599342,"[0.6558441558441559, 0.9673202614379085, 1.0, 1.0, 1.0]",0.06547775098255702,0.00519015503573389,0.25
6d8b06e240ea,claude-3-5-sonnet-20240620_t0.9_p0.5,stamp-letter-send,758,126,88,60,5,4.920634920634921,150.8,25.2,22.4,0.2125359595832178,0.006239744639029099,"[0.6549295774647887, 0.9716312056737588, 1.0, 1.0, 1.0]",0.04799925259181431,0.002920224893101009,0.09090909090909091
5338d65e752d,claude-3-5-sonnet-20240620_t0.0_p0.3,stamp-letter-send,767,130,87,53,5,4.792307692307692,152.6,26.0,23.6,0.21180217549832017,0.008149756958778676,"[0.6148648648648649, 0.9387755102040817, 0.9794520547945206, 0.993103448275862, 1.0]",0.03763458217893328,0.0043877930628962725,0.125
3cdd634c6f5e,claude-3-5-sonnet-20240620_t0.3_p0.9,stamp-letter-send,779,134,89,58,5,4.701492537313433,155.0,26.8,24.8,0.21115483111925581,0.007698772554723621,"[0.6, 0.9545454545454546, 1.0, 1.0, 1.0]",0.049989111082894465,0.005682481821024987,0.09090909090909091
dc3837eaf679,claude-3-5-sonnet-20240620_t0.7_p0.95,stamp-letter-send,778,131,92,61,5,4.885496183206107,154.8,26.2,24.0,0.2077117560665464,0.011565870965750638,"[0.6666666666666666, 0.9790209790209791, 1.0, 1.0, 1.0]",0.039141101496560235,0.012568631926443807,0.2
1d80e63cab8b,claude-3-5-sonnet-20240620_t1.0_p0.95,stamp-letter-send,862,147,91,61,5,4.761904761904762,171.6,29.4,25.8,0.213914666280069,0.02102416207508795,"[0.5680473372781065, 0.9583333333333334, 0.9940119760479041, 1.0, 1.0]",0.07091643469674247,0.0001628114993986185,0.25
9a71cdf585dc,claude-3-5-sonnet-20240620_t0.3_p0.95,stamp-letter-send,603,101,80,49,5,4.811881188118812,119.8,20.2,19.4,0.21270566636405022,0.017836257664844257,"[0.7024793388429752, 0.9583333333333334, 1.0, 1.0, 1.0]",0.07027144261768886,0.0025808113314361725,0.2
913bb3c4273f,claude-3-5-sonnet-20240620_t0.3_p0.5,stamp-letter-send,883,149,99,69,5,4.8389261744966445,175.8,29.8,26.8,0.21223341028911885,0.012825195946814485,"[0.6130952380952381, 0.9580838323353293, 1.0, 1.0, 1.0]",0.0476186990737915,0.0035253234812989143,0.09090909090909091
6efcc341a232,claude-3-5-sonnet-20240620_t0.9_p0.95,stamp-letter-send,709,121,86,60,5,4.75206611570248,141.0,24.2,21.2,0.21313468551231643,0.011262377569771775,"[0.6521739130434783, 0.9781021897810219, 1.0, 1.0, 1.0]",0.06201533249446324,0.0017227730349037573,0.2
ee1ef526c0b5,claude-3-5-sonnet-20240620_t0.9_p0.7,stamp-letter-send,722,116,83,56,5,5.112068965517241,143.6,23.2,22.0,0.21112789782610808,0.027934030949811395,"[0.6541353383458647, 0.9318181818181818, 0.9923664122137404, 1.0, 1.0]",0.05895768744604928,0.005736348407320457,0.25
8c1d1817c714,claude-3-5-sonnet-20240620_t0.0_p0.95,stamp-letter-send,730,123,92,61,5,4.829268292682927,145.2,24.6,22.6,0.21126802697207758,0.007232758398193109,"[0.6879432624113475, 0.9785714285714285, 1.0, 1.0, 1.0]",0.04563339608056205,0.005456090115381451,0.09090909090909091
6be93f2613ca,claude-3-5-sonnet-20240620_t0.0_p0.7,stamp-letter-send,730,123,92,61,5,4.829268292682927,145.2,24.6,22.6,0.21126802697207758,0.007232758398193109,"[0.6879432624113475, 0.9785714285714285, 1.0, 1.0, 1.0]",0.04563339608056205,0.005456090115381451,0.09090909090909091
d2ff03079092,claude-3-5-sonnet-20240620_t0.7_p1.0,stamp-letter-send,720,114,80,53,5,5.245614035087719,143.2,22.8,20.8,0.21299889091137358,0.01785121342889448,"[0.6484375, 0.9606299212598425, 0.9841269841269841, 0.992, 1.0]",0.07797941820962088,0.0019943622367894487,0.3333333333333333
f1998bcdc0b7,claude-3-5-sonnet-20240620_t0.7_p0.9,stamp-letter-send,650,108,78,51,5,4.925925925925926,129.2,21.6,20.0,0.2147135342803656,0.011041842840999808,"[0.6666666666666666, 0.9754098360655737, 1.0, 1.0, 1.0]",0.04591093063354492,0.00143492450119459,0.09090909090909091
9034cba42c79,claude-3-5-sonnet-20240620_t0.9_p1.0,stamp-letter-send,780,137,93,66,5,4.598540145985401,155.2,27.4,24.2,0.21485085362321013,0.00661825826971521,"[0.6282051282051282, 0.9548387096774194, 1.0, 1.0, 1.0]",0.07378572055271694,0.0017095631868836447,0.25
740b3c1a4a19,claude-3-5-sonnet-20240620_t1.0_p1.0,stamp-letter-send,584,98,74,51,5,4.846938775510204,116.0,19.6,18.4,0.21149321953455608,0.0187269799035005,"[0.6902654867256637, 0.9642857142857143, 1.0, 1.0, 1.0]",0.06421939645494734,0.005005704990424464,0.2
2570bf7d4ebe,claude-3-5-sonnet-20240620_t0.5_p0.3,stamp-letter-send,655,111,84,51,5,4.801801801801802,130.2,22.2,20.6,0.21281896703383502,0.007997476155795755,"[0.712, 0.9919354838709677, 1.0, 1.0, 1.0]",0.043447562626429966,0.002354209991866585,0.125
