result_id,model_id,item_id,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_n_gram_diversity,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
8e71af4478a9,gpt-4_t0.9_p0.9,stamp-letter-send,794,138,93,66,5,4.6521739130434785,158.0,27.6,23.6,0.214369818825266,0.017668150638763896,"[0.6168831168831169, 0.9869281045751634, 1.0, 1.0, 1.0]",0.0999961222921099,0.004666837349032893,0.1
e61912e10caa,gpt-4_t0.0_p0.3,stamp-letter-send,784,137,95,66,5,4.591240875912408,156.0,27.4,24.2,0.21671245817815785,0.015766039774531393,"[0.620253164556962, 0.9617834394904459, 1.0, 1.0, 1.0]",0.09478446926389422,1.844135675077574e-05,0.1
bf6db7e58a4a,gpt-4_t0.5_p1.0,stamp-letter-send,862,149,102,71,5,4.671140939597316,171.8,29.8,25.8,0.2148918219015632,0.004206029035095898,"[0.6153846153846154, 0.9404761904761905, 1.0, 1.0, 1.0]",0.09633827209472656,0.003622831196438525,0.16666666666666666
28324d7612dd,gpt-4_t0.9_p0.3,stamp-letter-send,960,168,106,73,5,4.619047619047619,191.2,33.6,28.2,0.21076675521456487,0.006440372664082872,"[0.5873015873015873, 0.9361702127659575, 1.0, 1.0, 1.0]",0.09171286651066371,0.011872964570435185,0.16666666666666666
b9802731ff87,gpt-4_t0.0_p0.5,stamp-letter-send,894,158,107,71,5,4.556962025316456,178.0,31.6,27.6,0.21392442117514504,0.012609387091313942,"[0.6179775280898876, 0.9548022598870056, 1.0, 1.0, 1.0]",0.1023031370980399,0.005557632649274835,0.3333333333333333
3f42c279a239,gpt-4_t0.0_p0.95,stamp-letter-send,904,160,105,73,5,4.53125,180.0,32.0,26.8,0.21373144520200008,0.008107918511977424,"[0.5966850828729282, 0.9444444444444444, 1.0, 1.0, 1.0]",0.08746521643229893,0.005943584595564766,0.1
5999ce8e96fe,gpt-4_t0.3_p0.7,stamp-letter-send,963,168,110,81,5,4.613095238095238,191.8,33.6,28.4,0.21340188991140435,0.012027338338247429,"[0.5885416666666666, 0.9319371727748691, 1.0, 1.0, 1.0]",0.0799143876348223,0.0066026951767562125,0.1
35dd376556e0,gpt-4_t0.0_p0.9,stamp-letter-send,847,146,105,70,5,4.664383561643835,168.6,29.2,26.0,0.21231717823948673,0.014073196879056768,"[0.6488095238095238, 0.9760479041916168, 1.0, 1.0, 1.0]",0.09742162738527571,0.008772118520591454,0.3333333333333333
a131b17d303f,gpt-4_t0.5_p0.5,stamp-letter-send,808,135,100,70,5,4.859259259259259,160.8,27.0,23.6,0.21423566440124195,0.009188609878765852,"[0.6666666666666666, 0.9741935483870968, 1.0, 1.0, 1.0]",0.09218858821051461,0.0049351461970810195,0.16666666666666666
aa7a317f1d19,gpt-4_t0.5_p0.3,stamp-letter-send,839,143,95,70,5,4.748251748251748,167.0,28.6,24.6,0.21342219830052947,0.014528415214899407,"[0.6097560975609756, 0.950920245398773, 1.0, 1.0, 1.0]",0.09470454454421998,0.006562078398505977,0.1
3e8c1465af91,gpt-4_t0.0_p1.0,stamp-letter-send,927,159,110,77,5,4.70440251572327,184.6,31.8,27.2,0.21385698056106933,0.010185772914141064,"[0.6243093922651933, 0.9555555555555556, 1.0, 1.0, 1.0]",0.10189994403294154,0.005692513877426253,0.3333333333333333
f693e0c3bf14,gpt-4_t1.0_p0.3,stamp-letter-send,880,147,98,67,5,4.863945578231292,175.2,29.4,24.6,0.21109216189503077,0.011206880558943033,"[0.6153846153846154, 0.9404761904761905, 1.0, 1.0, 1.0]",0.10308503253119332,0.011222151209503373,0.16666666666666666
854c444fd5e3,gpt-4_t0.7_p0.5,stamp-letter-send,843,153,105,76,5,4.366013071895424,167.8,30.6,26.0,0.2128668022783179,0.008664842455733568,"[0.615819209039548, 0.9545454545454546, 1.0, 1.0, 1.0]",0.10747171129499163,0.007672870442929136,0.16666666666666666
14a3436f9f9c,gpt-4_t0.5_p0.7,stamp-letter-send,952,166,110,73,5,4.596385542168675,189.6,33.2,28.4,0.2153585841893424,0.026989361467308445,"[0.6, 0.9312169312169312, 0.9946808510638298, 1.0, 1.0]",0.08620846612112863,0.0026893066208801275,0.16666666666666666
56d0d36300da,gpt-4_t1.0_p0.7,stamp-letter-send,905,154,95,64,5,4.753246753246753,180.2,30.8,26.2,0.2128030320126859,0.013180128220236773,"[0.5657142857142857, 0.9425287356321839, 1.0, 1.0, 1.0]",0.12110795974731445,0.007800410974193095,0.25
6c96ddfbafd7,gpt-4_t0.7_p0.7,stamp-letter-send,814,139,89,66,5,4.726618705035971,162.0,27.8,24.0,0.2113366073939628,0.007176785449405296,"[0.5759493670886076, 0.9363057324840764, 0.9871794871794872, 0.9935483870967742, 1.0]",0.10757078102656774,0.01073326021163934,0.25
f5f61156dff4,gpt-4_t0.3_p0.5,stamp-letter-send,806,142,94,66,5,4.570422535211268,160.4,28.4,23.0,0.21373675908797826,0.01706476299744754,"[0.6037735849056604, 0.9620253164556962, 1.0, 1.0, 1.0]",0.09163384778159005,0.005932956823608393,0.16666666666666666
646e71fb5f6c,gpt-4_t0.7_p0.95,stamp-letter-send,844,144,104,65,5,4.75,168.0,28.8,25.2,0.21625313498079776,0.010328557767449717,"[0.656441717791411, 0.9629629629629629, 0.9875776397515528, 0.99375, 1.0]",0.11234745809010097,0.0009002050379693927,0.1
db6e95a0588a,gpt-4_t0.5_p0.9,stamp-letter-send,835,156,99,64,5,4.256410256410256,166.2,31.2,25.6,0.21336048448251355,0.01526499355262291,"[0.5862068965517241, 0.953757225433526, 1.0, 1.0, 1.0]",0.08875828811100551,0.006685506034537825,0.1
08c24c3cd13b,gpt-4_t1.0_p0.5,stamp-letter-send,857,146,98,68,5,4.760273972602739,170.6,29.2,26.0,0.21509433302887707,0.009591648610186868,"[0.6024096385542169, 0.9696969696969697, 1.0, 1.0, 1.0]",0.11680760724203927,0.0032178089418107847,0.3333333333333333
f9bea88e9e37,gpt-4_t0.3_p0.9,stamp-letter-send,847,142,101,63,5,4.816901408450704,168.6,28.4,25.0,0.21113168793461962,0.007467386280985255,"[0.6265060240963856, 0.9818181818181818, 1.0, 1.0, 1.0]",0.1004726426942008,0.011143099130325684,0.3333333333333333
2109825717fa,gpt-4_t1.0_p0.9,stamp-letter-send,789,137,88,61,5,4.642335766423358,157.0,27.4,23.8,0.21017943096291172,0.012309611120460223,"[0.5961538461538461, 0.9612903225806452, 0.9935064935064936, 1.0, 1.0]",0.09533228703907558,0.01304761307374147,0.25
89cf564981c3,gpt-4_t0.3_p0.95,stamp-letter-send,950,175,111,69,5,4.3028571428571425,189.2,35.0,28.4,0.21318839369730774,0.013922421512295224,"[0.5671641791044776, 0.915, 0.9899497487437185, 1.0, 1.0]",0.1047639182635716,0.007029687604949431,0.25
4f4a6498c416,gpt-4_t0.7_p1.0,stamp-letter-send,751,127,92,60,5,4.811023622047244,149.4,25.4,22.0,0.21339188598643588,0.006521408466631143,"[0.6597222222222222, 0.972027972027972, 1.0, 1.0, 1.0]",0.10028597967965262,0.006622703026693155,0.16666666666666666
45f31793c78c,gpt-4_t0.9_p0.7,stamp-letter-send,822,136,90,61,5,4.897058823529412,163.6,27.2,23.2,0.2143680315200097,0.007019017591620921,"[0.5849056603773585, 0.9556962025316456, 1.0, 1.0, 1.0]",0.1299448813710894,0.0046704119595455396,1.0
0a71301ee141,gpt-4_t0.0_p0.7,stamp-letter-send,937,160,108,71,5,4.6875,186.6,32.0,26.8,0.21446968048391207,0.008016792554703958,"[0.5904255319148937, 0.93048128342246, 0.9946236559139785, 1.0, 1.0]",0.09137847934450422,0.004467114031740771,0.16666666666666666
024a6a515813,gpt-4_t1.0_p1.0,stamp-letter-send,919,155,114,72,5,4.84516129032258,183.0,31.0,28.6,0.2164517196131424,0.009904632980662187,"[0.6781609195402298, 0.9884393063583815, 1.0, 1.0, 1.0]",0.12520811898367745,0.0005030357732800916,0.3333333333333333
72af701a2ce9,gpt-4_t0.9_p0.95,stamp-letter-send,809,143,95,62,5,4.538461538461538,161.0,28.6,23.4,0.21381682901392532,0.007241535728627985,"[0.6012269938650306, 0.9691358024691358, 1.0, 1.0, 1.0]",0.11977940286908831,0.0057728169717142785,0.1
2a4eb7856622,gpt-4_t0.3_p0.3,stamp-letter-send,803,150,96,64,5,4.253333333333333,159.8,30.0,25.2,0.21132898097118688,0.008463064596085812,"[0.5847953216374269, 0.9529411764705882, 1.0, 1.0, 1.0]",0.09097293955939156,0.010748513057191156,0.1
5e6cbf1a886b,gpt-4_t0.7_p0.9,stamp-letter-send,889,151,98,66,5,4.754966887417218,177.0,30.2,25.6,0.21317718106827813,0.013039627969959694,"[0.5838150289017341, 0.9534883720930233, 1.0, 1.0, 1.0]",0.10725689956120082,0.007052112863008664,0.16666666666666666
c7008eeee8e3,gpt-4_t0.9_p0.5,stamp-letter-send,967,162,104,77,5,4.845679012345679,192.6,32.4,27.6,0.21713050071376688,0.009239125085409375,"[0.574468085106383, 0.9518716577540107, 1.0, 1.0, 1.0]",0.08204339912959507,0.0008545264279688491,0.1
31d9dcd571c0,gpt-4_t1.0_p0.95,stamp-letter-send,814,139,93,59,5,4.726618705035971,162.0,27.8,23.6,0.2101817274915761,0.020989974402325418,"[0.6024844720496895, 0.95625, 0.9811320754716981, 0.9936708860759493, 1.0]",0.114259215763637,0.01304302001641272,0.3333333333333333
48e9e1b1f09f,gpt-4_t0.3_p1.0,stamp-letter-send,767,138,95,65,5,4.434782608695652,152.6,27.6,23.6,0.21461240872740744,0.011800180707642105,"[0.6242038216560509, 0.9743589743589743, 1.0, 1.0, 1.0]",0.09836660453251429,0.004181657544750028,0.16666666666666666
f0c056fe9868,gpt-4_t0.7_p0.3,stamp-letter-send,772,133,90,64,5,4.684210526315789,153.6,26.6,23.0,0.21430070163120354,0.009281462013145864,"[0.6143790849673203, 0.9473684210526315, 1.0, 1.0, 1.0]",0.11169589587620327,0.004805071737157829,0.3333333333333333
8450a9328083,gpt-4_t0.9_p1.0,stamp-letter-send,812,131,94,62,5,5.030534351145038,161.6,26.2,23.0,0.21686964019904498,0.014806103424513065,"[0.6405228758169934, 0.9868421052631579, 1.0, 1.0, 1.0]",0.11307569231305803,0.0003328053985250379,0.3333333333333333
10cec1f33f28,gpt-4_t0.5_p0.95,stamp-letter-send,835,140,99,68,5,4.828571428571428,166.2,28.0,25.2,0.21552043687470446,0.010628324434648923,"[0.6375, 0.9685534591194969, 1.0, 1.0, 1.0]",0.0954243608883449,0.002365601250156002,0.16666666666666666
9a4990f53a6b,gpt-4_t0.3_p0.7,gloom-payment-exist,929,168,97,71,5,4.434523809523809,185.0,33.6,26.6,0.2115796156812242,0.019132673724062743,"[0.5319148936170213, 0.9197860962566845, 1.0, 1.0, 1.0]",0.12065764835902623,0.008558665241039265,0.3333333333333333
31de7beafe8e,gpt-4_t0.7_p0.3,gloom-payment-exist,888,151,100,72,5,4.754966887417218,176.8,30.2,26.0,0.21470132922529242,0.0023545738854021947,"[0.5988372093023255, 0.9532163742690059, 0.9941176470588236, 1.0, 1.0]",0.07892864772251675,0.0023152381529027988,0.14285714285714285
00c6549a4cbf,gpt-4_t0.9_p0.5,gloom-payment-exist,951,161,111,75,5,4.813664596273292,189.4,32.2,27.8,0.21453529403016375,0.007903772892751099,"[0.6368715083798883, 0.9662921348314607, 1.0, 1.0, 1.0]",0.12079286234719412,0.002647308543160143,0.3333333333333333
