result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
R_8B3zak55aPwmX5t_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",338,64,50,28,5,4.171875,66.8,12.8,12.0,0.20763062500449084,0.026823677122592954,"[0.78125, 0.9841269841269841, 1.0, 1.0, 1.0]","[0.171875, 0.47619047619047616, 0.7580645161290323, 0.8688524590163934, 0.95]",1.6,3,2.4578295337273666,7,0.1620972752571106,0.009897783081577516,0.5
R_2pgeIFWQlDZignv_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",508,102,65,28,7,3.892156862745098,71.71428571428571,14.571428571428571,13.857142857142858,0.20849524824707596,0.07552695473035174,"[0.6372549019607843, 0.9702970297029703, 1.0, 1.0, 1.0]","[0.11764705882352941, 0.46534653465346537, 0.81, 0.9696969696969697, 1.0]",2.142857142857143,6,2.3018337319707185,9,0.18929085201687282,0.008168536596407261,1.0
R_8kQG02fwq7ubaOB_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",214,48,38,16,5,3.3541666666666665,42.0,9.6,8.6,0.20978720585505167,0.22056002616882325,"[0.7916666666666666, 0.9574468085106383, 0.9782608695652174, 1.0, 1.0]","[0.25, 0.5531914893617021, 0.7608695652173914, 0.8888888888888888, 0.9545454545454546]",0.8,2,2.2777578743095983,6,0.18988315794203017,0.005584621380455845,1.0
R_8VyQYwyI8iMwwKJ_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",383,70,58,38,3,4.385714285714286,127.0,23.333333333333332,22.333333333333332,0.20464899131278394,0.0192029524826961,"[0.8285714285714286, 1.0, 1.0, 1.0, 1.0]","[0.18571428571428572, 0.5362318840579711, 0.8382352941176471, 0.9253731343283582, 0.9848484848484849]",4.0,6,2.971177059412353,8,0.1629581504397922,0.01586105046499131,0.5
R_2iUnWVtJB7cvKHj_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",480,102,67,38,7,3.6176470588235294,67.71428571428571,14.571428571428571,13.0,0.20688427495074646,0.017183322187453987,"[0.6568627450980392, 0.9702970297029703, 1.0, 1.0, 1.0]","[0.11764705882352941, 0.43564356435643564, 0.78, 0.9696969696969697, 1.0]",2.7142857142857144,4,2.428027549860752,6,0.15757523642645943,0.01139048318906627,1.0
R_2rra18JsIdbb7pI_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",344,67,49,25,3,4.0,114.0,22.333333333333332,18.333333333333332,0.21360411047935485,0.0197551423853094,"[0.7313432835820896, 0.9545454545454546, 1.0, 1.0, 1.0]","[0.14925373134328357, 0.4090909090909091, 0.6615384615384615, 0.78125, 0.873015873015873]",2.6666666666666665,4,2.8903508771929824,10,0.20403327676985,0.002049187868150504,1.0
R_8JLzPcPzxxmeT2T_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",460,81,58,32,4,4.555555555555555,114.25,20.25,18.0,0.21079816717293956,0.01106347306435849,"[0.7160493827160493, 0.9875, 1.0, 1.0, 1.0]","[0.16049382716049382, 0.5125, 0.7215189873417721, 0.8717948717948718, 0.961038961038961]",3.25,6,2.785914760914761,6,0.17889001104566787,0.0035626987446800706,1.0
R_2sKl3oqSfQrqNI5_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",692,121,75,45,7,4.628099173553719,97.85714285714286,17.285714285714285,16.0,0.2123221817040684,0.014705553182103748,"[0.6198347107438017, 0.975, 1.0, 1.0, 1.0]","[0.10743801652892562, 0.425, 0.7226890756302521, 0.9067796610169492, 0.9572649572649573]",2.5714285714285716,6,2.6973768328079974,9,0.15606940587361653,0.000514669682422364,0.3333333333333333
R_8K7NzHgqM00gKVF_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",755,145,101,48,10,4.124137931034483,74.7,14.5,13.2,0.20718549609395628,0.039368340493930495,"[0.696551724137931, 0.9583333333333334, 0.9790209790209791, 0.9859154929577465, 0.9929078014184397]","[0.09655172413793103, 0.4097222222222222, 0.7552447552447552, 0.9225352112676056, 0.9716312056737588]",1.9,5,2.8078692458806915,12,0.16699420875973173,0.010788040902646623,1.0
R_2bxsVUkaSaFXjdD_Q2,"['human', 'stamp-letter-send']","['sentience', 'id']",413,71,51,33,4,4.661971830985915,102.5,17.75,16.0,0.20738106627355923,0.029666037486202647,"[0.7183098591549296, 0.9571428571428572, 1.0, 1.0, 1.0]","[0.16901408450704225, 0.4714285714285714, 0.782608695652174, 0.8970588235294118, 0.9552238805970149]",1.75,3,2.559436274509804,6,0.14400885370042588,0.010396900543440724,0.5
