result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
527f68d73de6,"['machine', 'stamp-letter-send']","['sentience', 'id']",360,66,49,32,4,0.7424242424242424,4.303030303030303,89.25,16.5,14.25,0,0,0,6,0,0,6,0.20979475302080955,0.013636024792989088,"[0.003662959734598792, 0.0032250228600624042, 0.013566054594822435]","[0.7424242424242424, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4461538461538462, 0.71875, 0.8888888888888888, 0.967741935483871]",1.75,4,2.7772506852203245,7,7.75,12,91.59634615384618,5.327820512820512,0.21393762183235865,0.14483430799220273,0.10058479532163742,0.022417153996101363,0.17816764132553606,0.14502923976608187,0.09132553606237817,0.16339828385863192,0.012541706474285319,0.5
9a1b41f75b30,"['machine', 'stamp-letter-send']","['sentience', 'id']",411,79,57,36,5,0.7215189873417721,4.0886075949367084,82.2,15.8,14.2,0,0,0,7,1,0,8,0.21198589499034579,0.018214938706821865,"[0.0034398537693601516, 0.011120918874788777, 0.012271727787123793, 0.009597376982371009]","[0.7215189873417721, 0.9743589743589743, 1.0, 1.0, 1.0]","[0.1518987341772152, 0.5256410256410257, 0.8441558441558441, 0.9605263157894737, 0.9866666666666667]",1.8,3,2.67549601176376,9,8.0,10,98.80761290322583,4.098408602150538,0.1919465329991646,0.1779782790309106,0.08507936507936507,0.031746031746031744,0.10232247284878863,0.14623224728487885,0.11248120300751879,0.14328631827997607,0.008159422535212846,0.5
b6d3a6eed750,"['machine', 'stamp-letter-send']","['sentience', 'id']",756,124,87,58,5,0.7016129032258065,4.975806451612903,150.4,24.8,23.0,0,0,0,11,0,0,11,0.21405719192692962,0.009624096019139147,"[0.008920832664247536, 0.0017666256908095423, 0.005458581098270077, 0.00310215258495114]","[0.7016129032258065, 0.959349593495935, 0.9918032786885246, 1.0, 1.0]","[0.10483870967741936, 0.3983739837398374, 0.7131147540983607, 0.9008264462809917, 0.975]",3.2,5,3.5624622181454817,9,10.0,14,68.35844755244757,10.82973426573427,0.2557183557183557,0.16507529507529506,0.07462352462352462,0.04238095238095238,0.08638990638990639,0.12508750508750507,0.13277981277981277,0.11224879913551863,0.004016828662045169,0.125
d2ff03079092,"['machine', 'stamp-letter-send']","['sentience', 'id']",720,114,80,53,5,0.7017543859649122,5.245614035087719,143.2,22.8,20.8,0,0,0,11,0,0,11,0.21299889091137358,0.01785121342889448,"[0.020990577008989125, 0.011417148867224003, 0.0011532376537392863, 0.002141463327836546]","[0.7017543859649122, 0.9646017699115044, 0.9821428571428571, 0.990990990990991, 1.0]","[0.10526315789473684, 0.4247787610619469, 0.7589285714285714, 0.918918918918919, 0.9727272727272728]",3.0,4,3.401652825071798,10,10.8,13,67.16975000000001,10.250250000000005,0.23703279938977878,0.1727470851040645,0.062803748501689,0.05483273400893538,0.09969488939740656,0.10007082924703062,0.11242780865206495,0.10829171053198881,0.006133430693157249,0.2
33f700e257a3,"['machine', 'stamp-letter-send']","['sentience', 'id']",794,135,92,59,5,0.6814814814814815,4.8,158.0,27.0,23.6,0,0,0,15,0,0,15,0.21226352916552546,0.027010577694330268,"[0.004752541323760878, 0.023032930280481062, 0.0131476124400621, 0.013088071344356494]","[0.6814814814814815, 0.9552238805970149, 0.9924812030075187, 1.0, 1.0]","[0.08888888888888889, 0.40298507462686567, 0.7142857142857143, 0.8787878787878788, 0.9770992366412213]",3.4,6,3.4178063973063972,12,10.2,14,67.53300000000003,11.292666666666669,0.23953953953953955,0.13180609180609182,0.07726583726583727,0.03693121693121693,0.11496353496353497,0.11696553696553696,0.1502988702988703,0.1103109828261442,0.0076041541848534955,0.125
dc3837eaf679,"['machine', 'stamp-letter-send']","['sentience', 'id']",778,131,92,61,5,0.7022900763358778,4.885496183206107,154.8,26.2,24.0,0,0,0,14,0,0,14,0.2077117560665464,0.011565870965750638,"[0.008644072094348948, 0.0010465518994764722, 0.013063690551630147, 0.0003774273860457089]","[0.7022900763358778, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.0916030534351145, 0.33076923076923076, 0.6434108527131783, 0.859375, 0.9448818897637795]",2.8,6,3.4179844055914104,10,12.2,19,61.86550000000001,11.785055555555555,0.24004629629629629,0.11710185185185185,0.11778703703703704,0.050972222222222224,0.12885185185185186,0.10094444444444445,0.13625925925925925,0.10031428170758624,0.016707700382811608,0.125
f1998bcdc0b7,"['machine', 'stamp-letter-send']","['sentience', 'id']",650,108,78,51,5,0.7222222222222222,4.925925925925926,129.2,21.6,20.0,0,0,0,14,0,0,14,0.2147135342803656,0.011041842840999808,"[0.008644072094348948, 0.005220009660943131, 0.0009609846940963063, 0.00725861923261123]","[0.7222222222222222, 0.9813084112149533, 1.0, 1.0, 1.0]","[0.1111111111111111, 0.42990654205607476, 0.7358490566037735, 0.8666666666666667, 0.9326923076923077]",2.6,4,3.179859558440518,10,9.2,13,77.31965853658538,8.586113821138216,0.26355555555555554,0.1388888888888889,0.08303703703703703,0.017407407407407406,0.12237037037037037,0.09155555555555556,0.1557037037037037,0.10219307971555133,0.0027041439551732105,0.125
db6e95a0588a,"['machine', 'stamp-letter-send']","['sentience', 'id']",835,156,99,64,5,0.6346153846153846,4.256410256410256,166.2,31.2,25.6,0,0,0,12,1,0,13,0.21336048448251355,0.01526499355262291,"[0.0036301822249406313, 0.014203898420854788, 0.0034424315541337625, 0.009253474905316639]","[0.6346153846153846, 0.9548387096774194, 1.0, 1.0, 1.0]","[0.07692307692307693, 0.2903225806451613, 0.5714285714285714, 0.7777777777777778, 0.9144736842105263]",3.4,6,3.870425661763623,13,13.4,19,75.73024137931036,11.34177011494253,0.27578434762265996,0.12810543861369278,0.05518910522703464,0.01697792869269949,0.10503712954314406,0.16329843139076242,0.14141324484856616,0.11758417584175287,0.005410243550877325,0.3333333333333333
ea62cd5b6cdb,"['machine', 'stamp-letter-send']","['sentience', 'id']",791,132,95,59,5,0.7196969696969697,4.886363636363637,157.4,26.4,25.2,0,0,0,13,2,0,15,0.20997439240378152,0.011752628523205952,"[0.008920832664247536, 0.0042896980549389785, 0.004704574722073446, 0.005590151605151944]","[0.7196969696969697, 0.9847328244274809, 1.0, 1.0, 1.0]","[0.08333333333333333, 0.3282442748091603, 0.6461538461538462, 0.8682170542635659, 0.9609375]",2.2,3,3.307240503355212,9,10.6,14,69.11584210526318,11.171263157894739,0.21878787878787878,0.13303030303030303,0.1396969696969697,0.06333333333333334,0.11818181818181818,0.1296969696969697,0.11151515151515151,0.1011002964751665,0.012182427708341381,0.125
7bce9126bc25,"['machine', 'stamp-letter-send']","['sentience', 'id']",776,121,89,62,5,0.7355371900826446,5.322314049586777,154.4,24.2,22.6,0,0,0,9,0,0,9,0.21235614271153855,0.016939523547581173,"[0.016397500038146967, 0.009818137787676928, 0.005571753521025902, 0.0020916557483125486]","[0.7355371900826446, 1.0, 1.0, 1.0, 1.0]","[0.09917355371900827, 0.4, 0.7226890756302521, 0.8983050847457628, 0.9572649572649573]",3.4,5,3.5022661292490986,10,11.0,14,55.437294117647085,12.284176470588235,0.24696172915566508,0.17106887201280793,0.0748498545695342,0.050768748795064586,0.07912617035900789,0.11570643791753632,0.13204379049630766,0.11427222712095393,0.007418927092827321,0.125
