result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
R_8kEPJucbd4CbnFO_Q2,"['human', 'low']","['model', 'semantic_distance']",701,124,84,43,10,4.564516129032258,69.2,12.4,11.7,0.20933594675951225,0.1481214026065329,"[0.005589455366134616, 0.0005374650160471783, 0.0018462629029245003, 0.20458311745614716, 0.20356072911194392, 0.018854002867426195, 0.004580273514702193, 0.02905755667459395, 0.19793744881947836]","[0.6774193548387096, 0.983739837398374, 1.0, 1.0, 1.0]","[0.0967741935483871, 0.4634146341463415, 0.7786885245901639, 0.9421487603305785, 0.9916666666666667]",1.7,7,2.292557502812684,9,0.20489592755094488,0.007864124165645525,1.0
R_8B3zak55aPwmX5t_Q2,"['human', 'low']","['model', 'semantic_distance']",338,64,50,28,5,4.171875,66.8,12.8,12.0,0.20763062500449084,0.026823677122592954,"[0.021613111098607418, 0.011310203870137536, 0.01235431035359702, 0.008369728922843933]","[0.78125, 0.9841269841269841, 1.0, 1.0, 1.0]","[0.171875, 0.47619047619047616, 0.7580645161290323, 0.8688524590163934, 0.95]",1.6,3,2.4578295337273666,7,0.19102070686664988,0.011274767675688357,0.5
R_8dFIkEkt84RkgQj_Q2,"['human', 'low']","['model', 'semantic_distance']",537,96,67,38,5,4.53125,106.6,19.2,17.8,0.2018364975666084,0.015599038085294128,"[0.004667071217582336, 0.009275663277459517, 0.00462155772580039, 0.012633783949746014]","[0.6979166666666666, 0.968421052631579, 1.0, 1.0, 1.0]","[0.10416666666666667, 0.45263157894736844, 0.7340425531914894, 0.8924731182795699, 0.9565217391304348]",3.4,6,2.9407698837110603,7,0.20926184349871696,0.022863022551453227,0.5
R_25FmW7vrOnS60wE_Q1,"['human', 'low']","['model', 'semantic_distance']",253,44,33,18,6,4.4772727272727275,41.166666666666664,7.333333333333333,7.333333333333333,0.2125100154502719,0.060793166160583494,"[0.0034712115923563602, 0.0131157398223877, 0.00391070048014322, 0.04800830284754434, 0.0834769606590271]","[0.75, 0.9302325581395349, 0.9761904761904762, 1.0, 1.0]","[0.25, 0.6744186046511628, 0.8809523809523809, 0.9512195121951219, 1.0]",1.6666666666666667,3,1.9439997263273125,4,0.21165871239723044,0.0015159867841262331,1.0
R_8U0c5Ms0PJ9VYTm_Q1,"['human', 'low']","['model', 'semantic_distance']",416,84,58,33,7,3.857142857142857,58.42857142857143,12.0,11.0,0.2106029031177362,0.14265985531466346,"[0.009790050131934014, 0.00466203008379254, 0.003348881006240839, 0.0017161607742309515, 0.2117883801460266, 0.19667406380176544]","[0.6904761904761905, 0.9518072289156626, 0.9878048780487805, 1.0, 1.0]","[0.15476190476190477, 0.4819277108433735, 0.8170731707317073, 0.9506172839506173, 0.975]",1.8571428571428572,4,2.5967237242041272,7,0.19935432520318538,0.005330211449197653,1.0
R_2PoZkpFOhTZwzbR_Q2,"['human', 'low']","['model', 'semantic_distance']",162,33,30,12,3,3.757575757575758,53.333333333333336,11.0,10.0,0.21241957762024619,0.031690406799316395,"[0.028894180059432978, 0.0027962267398834173]","[0.9090909090909091, 1.0, 1.0, 1.0, 1.0]","[0.36363636363636365, 0.8125, 0.967741935483871, 1.0, 1.0]",1.0,2,2.0525252525252524,5,0.202082688504077,0.0016968624441776603,1.0
R_8fKaPcuSHw79GVj_Q2,"['human', 'low']","['model', 'semantic_distance']",473,99,66,36,4,3.696969696969697,117.25,24.75,21.0,0.2000423468294598,0.026002845148596167,"[0.013410619172182975, 0.013670762379964202, 0.011922886170747077]","[0.6666666666666666, 0.9693877551020408, 1.0, 1.0, 1.0]","[0.1111111111111111, 0.4387755102040816, 0.8247422680412371, 0.9583333333333334, 0.9894736842105263]",4.5,9,2.869370270726932,8,0.19149191962911727,0.026451324025750456,0.3333333333333333
R_2mqjhNO26XNoi6R_Q2,"['human', 'low']","['model', 'semantic_distance']",440,79,64,36,6,4.481012658227848,72.33333333333333,13.166666666666666,12.666666666666666,0.20565927284104485,0.1656085267417875,"[0.010605705919719877, 0.002949390099162147, 0.006050438398406632, 0.19587079683939615, 0.19854498559778389]","[0.810126582278481, 0.9871794871794872, 1.0, 1.0, 1.0]","[0.1518987341772152, 0.5128205128205128, 0.7662337662337663, 0.9473684210526315, 1.0]",1.8333333333333333,5,2.783958263958264,11,0.20420402922528855,0.015217472002580335,1.0
R_2VPJFAhkG6jzuXy_Q1,"['human', 'low']","['model', 'semantic_distance']",327,62,54,24,3,4.161290322580645,108.0,20.666666666666668,20.0,0.21712700050810108,0.04710648953914642,"[0.044179088238513825, 0.0029274013006325983]","[0.8709677419354839, 1.0, 1.0, 1.0, 1.0]","[0.1774193548387097, 0.5901639344262295, 0.9333333333333333, 1.0, 1.0]",3.0,4,2.7395225972461743,8,0.21070600063242811,0.007717983331532119,1.0
R_2fDGzWQwo9sISmC_Q2,"['human', 'low']","['model', 'semantic_distance']",182,36,24,13,1,4.055555555555555,181.0,36.0,24.0,0.2011528030419961,0.0,[],"[0.6666666666666666, 0.8857142857142857, 0.9411764705882353, 0.9696969696969697, 1.0]","[0.2222222222222222, 0.45714285714285713, 0.7058823529411765, 0.9090909090909091, 0.96875]",8.0,8,4.1571428571428575,10,0.2106772800709339,0.024230411600677848,1.0
R_21jCVrcLzykPU4h_Q2,"['human', 'low']","['model', 'semantic_distance']",218,48,33,18,5,3.4791666666666665,43.4,9.6,9.2,0.19461777358273274,0.1929579320408049,"[0.00546991683187939, 0.18405861655871072, 0.18809498349825543, 0.008292347192764254]","[0.6875, 0.9787234042553191, 1.0, 1.0, 1.0]","[0.20833333333333334, 0.6382978723404256, 0.9130434782608695, 0.9777777777777777, 1.0]",1.8,4,1.9699822134387353,4,0.20729819130390248,0.03730047051920454,1.0
R_8wT7Ix8TsW7XbEo_Q2,"['human', 'low']","['model', 'semantic_distance']",257,54,39,22,4,3.6296296296296298,63.25,13.5,12.5,0.20124403584055053,0.019957941297500836,"[0.008423109849294008, 0.007059498627980554, 0.014454303468976692]","[0.7222222222222222, 0.9811320754716981, 1.0, 1.0, 1.0]","[0.2037037037037037, 0.5660377358490566, 0.8269230769230769, 0.9607843137254902, 1.0]",1.0,2,2.291360001817273,6,0.1941141536895265,0.024047946003568965,1.0
R_87z2b4sr7in6R21_Q1,"['human', 'low']","['model', 'semantic_distance']",552,103,70,35,5,4.271844660194175,109.6,20.6,17.8,0.21202621510048875,0.017889146057386243,"[0.0011009822289148874, 0.0041126611213835595, 0.022024242650894893, 0.008540406113579146]","[0.6796116504854369, 0.9901960784313726, 1.0, 1.0, 1.0]","[0.10679611650485436, 0.46078431372549017, 0.8217821782178217, 0.98, 1.0]",3.2,6,2.8955365371955235,8,0.1880465974199011,0.00248358748369254,1.0
R_2joIDdCu9ghOfCw_Q2,"['human', 'low']","['model', 'semantic_distance']",636,121,75,45,8,4.132231404958677,78.5,15.125,13.75,0.20642264979054228,0.02209923664728798,"[0.0032181782854927843, 0.013968979318936647, 0.01905104451709322, 0.00859304798973931, 0.01112908522288003, 0.012678492069244374, 0.008708500862121576]","[0.6198347107438017, 0.9666666666666667, 1.0, 1.0, 1.0]","[0.09090909090909091, 0.3416666666666667, 0.6134453781512605, 0.847457627118644, 0.9401709401709402]",1.875,5,2.5981276700751943,7,0.20677746737256963,0.013690718103585464,1.0
R_2bxsVUkaSaFXjdD_Q1,"['human', 'low']","['model', 'semantic_distance']",563,96,69,43,5,4.760416666666667,111.8,19.2,17.0,0.21204910081618383,0.020563782495681707,"[0.016212797164916998, 0.0089377654923333, 0.013258147239685075, 0.002718855094428041]","[0.71875, 0.9894736842105263, 1.0, 1.0, 1.0]","[0.11458333333333333, 0.3684210526315789, 0.6702127659574468, 0.8602150537634409, 0.9891304347826086]",3.6,5,2.7409219224768004,6,0.18811104906366227,0.002437816052302366,0.3333333333333333
R_8sBNWJpZHPgPqua_Q1,"['human', 'low']","['model', 'semantic_distance']",225,44,37,17,4,4.045454545454546,55.5,11.0,10.5,0.20098627402501948,0.022265438238779706,"[0.016260848442713416, 0.002465798457463586, 0.01467151045799256]","[0.8409090909090909, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.6976744186046512, 0.9761904761904762, 1.0, 1.0]",1.25,4,2.416448379012046,6,0.2000526798532364,0.024563469634631074,0.3333333333333333
