result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_interestingness
R_8IgyrHkEhSlOgd5_Q2,"['human', 'stamp-letter-send']","['model', 'id']",499,96,63,31,3,0.65625,4.15625,165.66666666666666,32.0,25.333333333333332,0,0,0,8,1,0,9,0.20520299109079504,0.015266651518983737,"[0.012226506872893922, 0.003040144646089815]","[0.65625, 0.968421052631579, 0.9893617021276596, 1.0, 1.0]","[0.125, 0.43157894736842106, 0.7553191489361702, 0.9247311827956989, 0.9891304347826086]",4.0,7,3.4675772117632584,12,11.666666666666666,15,71.13676470588238,11.78372549019608,0.2643859649122807,0.11354925775978407,0.07406207827260458,0.012820512820512822,0.10190283400809716,0.14222672064777328,0.09329284750337381,0.16382201339887537,0.012999345379317517,0.5,0.003632462024688754
R_8B3zak55aPwmX5t_Q2,"['human', 'stamp-letter-send']","['model', 'id']",338,64,50,28,5,0.78125,4.171875,66.8,12.8,12.0,1,0,0,8,0,1,8,0.20763062500449084,0.026823677122592954,"[0.021613111098607418, 0.011310203870137536, 0.01235431035359702, 0.008369728922843933]","[0.78125, 0.9841269841269841, 1.0, 1.0, 1.0]","[0.171875, 0.47619047619047616, 0.7580645161290323, 0.8688524590163934, 0.95]",1.6,3,2.4578295337273666,7,7.2,9,99.30367123287674,3.0355068493150696,0.20437983069562016,0.185525001314475,0.04129554655870445,0.0,0.14363005415636995,0.14313055365686944,0.12795625427204374,0.15824121495951776,0.008144077551925921,0.5,0.06588707764943441
R_8U0c5Ms0PJ9VYTm_Q2,"['human', 'stamp-letter-send']","['model', 'id']",334,73,49,27,6,0.6712328767123288,3.493150684931507,54.833333333333336,12.166666666666666,11.333333333333334,7,0,0,7,0,7,7,0.20222476387974883,0.04165541103907995,"[0.03135549028714496, 0.020869394143422454, 0.004800177755809987, 0.022656195504324794, 0.024457269906997675]","[0.6712328767123288, 0.9722222222222222, 1.0, 1.0, 1.0]","[0.1506849315068493, 0.4444444444444444, 0.7323943661971831, 0.9, 0.9420289855072463]",1.6666666666666667,5,2.395428766634622,7,6.833333333333333,9,101.37463080168777,2.3905696202531637,0.1805971805971806,0.17895992895992896,0.034722222222222224,0.023088023088023088,0.18617493617493616,0.1300019425019425,0.16407897657897658,0.16905577286430026,0.018955799801409934,0.3333333333333333,0.020391647020975734
R_2PoZkpFOhTZwzbR_Q2,"['human', 'stamp-letter-send']","['model', 'id']",162,33,30,12,3,0.9090909090909091,3.757575757575758,53.333333333333336,11.0,10.0,0,2,0,2,0,2,2,0.21241957762024619,0.031690406799316395,"[0.028894180059432978, 0.0027962267398834173]","[0.9090909090909091, 1.0, 1.0, 1.0, 1.0]","[0.36363636363636365, 0.8125, 0.967741935483871, 1.0, 1.0]",1.0,2,2.0525252525252524,5,6.333333333333333,8,109.04000000000002,1.2800000000000011,0.20952380952380953,0.1380952380952381,0.023809523809523808,0.11428571428571428,0.22857142857142856,0.07142857142857142,0.047619047619047616,0.18234792222147403,0.001433827679584776,1.0,0.02367556492487588
R_8d77LowRrq3xFfJ_Q2,"['human', 'stamp-letter-send']","['model', 'id']",443,84,57,30,3,0.6785714285714286,4.2023809523809526,147.0,28.0,23.0,2,3,0,0,2,5,2,0.20624009425612702,0.02138570523782049,"[0.0018060985700789622, 0.019579606667741528]","[0.6785714285714286, 0.963855421686747, 1.0, 1.0, 1.0]","[0.11904761904761904, 0.40963855421686746, 0.7439024390243902, 0.8765432098765432, 0.975]",4.666666666666667,5,3.312540574800703,9,12.333333333333334,14,72.71702898550726,10.73521739130435,0.2168234064785789,0.20393591083246257,0.04824103099965169,0.02159526297457332,0.11163357715081852,0.11163357715081854,0.0987460815047022,0.18633628928143045,0.010925139048653554,1.0,0.06386810938517251
R_8o6ejl1aVHjSI9z_Q2,"['human', 'stamp-letter-send']","['model', 'id']",380,79,57,22,4,0.7215189873417721,3.7721518987341773,94.25,19.75,18.0,8,0,0,6,0,8,6,0.20424393012926176,0.017441476905156662,"[0.01286486997490835, 0.012524895015217002, 0.000772450367609645]","[0.7215189873417721, 0.9615384615384616, 0.974025974025974, 0.9868421052631579, 1.0]","[0.13924050632911392, 0.5641025641025641, 0.7792207792207793, 0.9342105263157895, 0.9866666666666667]",3.5,6,2.5088037156426375,6,8.0,11,99.905,4.790000000000003,0.14078947368421052,0.1394736842105263,0.037500000000000006,0.075,0.22828947368421054,0.038157894736842106,0.12697368421052632,0.2109765384508216,0.01491746730238408,1.0,0.026747202873230014
R_8VKNz0tY7nY6fDq_Q2,"['human', 'stamp-letter-send']","['model', 'id']",119,28,23,10,3,0.8214285714285714,3.2142857142857144,39.0,9.333333333333334,8.666666666666666,4,0,0,4,0,4,4,0.19583674139446683,0.39816176692644756,"[0.19371367494265238, 0.20444809198379515]","[0.8214285714285714, 1.0, 1.0, 1.0, 1.0]","[0.32142857142857145, 0.6296296296296297, 0.8846153846153846, 0.96, 1.0]",1.6666666666666667,4,2.0208333333333335,6,6.666666666666667,11,114.47569892473118,-0.14064516129032256,0.12254901960784313,0.272875816993464,0.0,0.0,0.29248366013071897,0.061274509803921566,0.0196078431372549,0.16928324751231982,0.03173184477197394,0.5,0.020466546217600523
R_8zUaSPSsswsQ7fn_Q2,"['human', 'stamp-letter-send']","['model', 'id']",285,60,43,17,3,0.7166666666666667,3.7333333333333334,95.0,20.0,17.0,4,0,0,0,4,4,4,0.2036386110326823,0.012178730396997323,"[0.0027700282278514954, 0.009408702169145827]","[0.7166666666666667, 1.0, 1.0, 1.0, 1.0]","[0.18333333333333332, 0.5423728813559322, 0.8275862068965517, 0.9473684210526315, 1.0]",2.6666666666666665,4,2.6533391010587897,8,8.0,9,99.25979166666667,4.714375,0.20617667356797792,0.11689095928226363,0.05257936507936508,0.0,0.13000345065562458,0.13414423740510698,0.17128191856452726,0.16809802210849265,0.016128105495543,0.3333333333333333,0.01588657242911201
R_2So8IZ3DwEtmV0v_Q2,"['human', 'stamp-letter-send']","['model', 'id']",470,84,61,34,6,0.7261904761904762,4.511904761904762,77.5,14.0,12.833333333333334,0,0,0,12,1,0,13,0.2062264884856933,0.17723453796826882,"[0.20992226401964825, 0.2123019059499105, 0.0075616121292114424, 0.008860503666566849, 0.0044400591553349356]","[0.7261904761904762, 0.9879518072289156, 1.0, 1.0, 1.0]","[0.15476190476190477, 0.5180722891566265, 0.8292682926829268, 0.9506172839506173, 1.0]",2.5,8,2.5134566481374994,8,8.0,17,88.33333333333334,4.830638297872344,0.13695425495085936,0.3259617198496655,0.024725274725274724,0.07319943780045647,0.12291274090934533,0.05607432559894359,0.09609994796752012,0.19775810708170352,0.010952350589520987,1.0,0.06386810938517251
R_8WxkYgki5yinZhV_Q2,"['human', 'stamp-letter-send']","['model', 'id']",275,56,37,16,3,0.6607142857142857,3.8214285714285716,91.0,18.666666666666668,15.0,0,0,0,7,0,0,7,0.21246614704529443,0.016182982212021246,"[0.0076373060544331905, 0.008545676157588056]","[0.6607142857142857, 0.9090909090909091, 0.9814814814814815, 1.0, 1.0]","[0.21428571428571427, 0.5272727272727272, 0.7777777777777778, 0.8679245283018868, 0.9423076923076923]",2.0,4,2.6983867196633153,6,8.333333333333334,10,95.80026881720433,5.031290322580645,0.20341880341880342,0.12210826210826212,0.08934472934472934,0.013333333333333334,0.13025641025641027,0.11304843304843304,0.17868945868945868,0.1560755631198054,0.0015269665296812618,1.0,0.018815314769744906
