result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
463e13fddd42,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",867,144,96,69,5,0.6666666666666666,4.951388888888889,172.6,28.8,25.4,0,0,0,3,0,0,3,0.21410887452749136,0.007388722682918708,"[0.006194383615539201, 0.0025857312936233, 0.001314153720697514, 0.004683176735977401]","[0.6666666666666666, 0.951048951048951, 0.9859154929577465, 1.0, 1.0]","[0.08333333333333333, 0.34265734265734266, 0.6197183098591549, 0.8368794326241135, 0.9428571428571428]",3.6,5,3.762443005769879,10,11.4,15,60.71163291139243,12.641594936708866,0.23034335130886854,0.15478613892406998,0.09332351980627843,0.010810810810810811,0.05717198365474228,0.17013460144494627,0.12101983150259012,0.15096806311139874,0.004320148925067713,0.5
d6ad63941c11,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",668,113,71,50,5,0.6283185840707964,4.79646017699115,132.8,22.6,20.0,0,0,0,1,1,0,2,0.2121366717864056,0.014121450092012669,"[0.004636971907500925, 0.014819382718115143, 0.00799696282906967, 0.0007895827293395996]","[0.6283185840707964, 0.9732142857142857, 1.0, 1.0, 1.0]","[0.10619469026548672, 0.36607142857142855, 0.6486486486486487, 0.8454545454545455, 0.9357798165137615]",3.0,4,3.04341491122313,9,9.4,12,76.422875,8.959625000000003,0.2905861244019139,0.14044258373205742,0.09279904306220095,0.04157894736842105,0.03211722488038277,0.17241626794258375,0.09245813397129186,0.1537800068948783,0.008264554407239222,0.25
a84688698218,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",685,119,78,49,5,0.6554621848739496,4.61344537815126,136.2,23.8,21.4,0,0,0,14,1,0,15,0.20710011069871942,0.020311214956542298,"[0.012495982182490373, 0.008579107938390812, 0.0066451371619195565, 0.012902202630283854]","[0.6554621848739496, 0.9830508474576272, 1.0, 1.0, 1.0]","[0.10084033613445378, 0.3220338983050847, 0.6068376068376068, 0.8017241379310345, 0.9304347826086956]",4.0,7,3.12888796475753,9,10.6,13,75.89845255474454,9.479941605839418,0.23334701696770663,0.1892446633825944,0.06709998175515416,0.009523809523809523,0.14041689472723956,0.12862616310892172,0.12148330596606458,0.137178570616479,0.018337676582611595,0.08333333333333333
2b83460c01e5,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",644,109,75,51,5,0.6880733944954128,4.7889908256880735,128.0,21.8,19.2,0,0,0,5,2,0,7,0.2132071763861413,0.012306862683814382,"[0.009047584055544233, 0.00705799247537342, 0.0036090960578313014, 0.004899052778879809]","[0.6880733944954128, 0.9907407407407407, 1.0, 1.0, 1.0]","[0.11009174311926606, 0.3425925925925926, 0.5887850467289719, 0.7830188679245284, 0.9142857142857143]",3.0,4,3.0908265916350066,7,8.4,10,72.50170967741937,9.307806451612905,0.31448193760262727,0.12949096880131364,0.06671346469622332,0.006896551724137931,0.06555528188286809,0.1945224411603722,0.09495949644225506,0.129274751625809,0.006123545207767811,0.08333333333333333
a12335f1a392,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",687,114,82,54,5,0.7192982456140351,4.894736842105263,136.6,22.8,20.4,0,0,0,6,0,0,6,0.21566150435861553,0.014181116376167702,"[0.013803553400617674, 0.003983795642852783, 0.00419385755534496, 0.006381026153519986]","[0.7192982456140351, 0.9911504424778761, 1.0, 1.0, 1.0]","[0.09649122807017543, 0.3274336283185841, 0.6160714285714286, 0.8468468468468469, 0.9636363636363636]",3.2,5,3.475275578080456,10,10.6,15,74.36961538461541,9.345384615384617,0.26515151515151514,0.18409090909090908,0.0696969696969697,0.016666666666666666,0.10378787878787879,0.13257575757575757,0.13333333333333333,0.1280304053250481,0.0012148892628193741,0.08333333333333333
4fb9017acda8,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",775,143,85,58,5,0.5944055944055944,4.321678321678322,154.2,28.6,23.2,0,0,0,12,0,0,12,0.20713508587062396,0.01566728887702125,"[0.0032118458081694112, 0.008541804513120949, 0.006914983465780622, 0.012665943966971516]","[0.5944055944055944, 0.971830985915493, 0.9929078014184397, 1.0, 1.0]","[0.07692307692307693, 0.323943661971831, 0.6170212765957447, 0.8071428571428572, 0.9280575539568345]",4.0,8,3.5811381106487903,12,12.2,17,74.52781132075472,10.764201257861636,0.2399083546462063,0.15023444160272803,0.05544467787114846,0.04420518207282913,0.11188877725003045,0.15393526976007793,0.10970725246620387,0.14681844267190672,0.018267726238802517,0.2
0d5ab02f00cf,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",666,114,76,56,5,0.6666666666666666,4.728070175438597,132.4,22.8,19.4,0,0,0,2,0,0,2,0.2140155109105172,0.002894830128959719,"[0.0012391742769178316, 0.001499818963604349, 0.00019932064143093897, 0.0028513463759663182]","[0.6666666666666666, 0.9557522123893806, 0.9910714285714286, 1.0, 1.0]","[0.10526315789473684, 0.3274336283185841, 0.625, 0.8378378378378378, 0.9272727272727272]",3.8,5,3.1352548036758563,9,9.6,13,74.33054961832063,9.400519083969467,0.2830644632434914,0.1514869827529674,0.09596530920060331,0.011764705882352941,0.027790346907993965,0.18417929044527512,0.09325857433274314,0.14067913971695245,0.004506876159016016,0.25
51e51db3ce55,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",805,141,84,62,5,0.5957446808510638,4.574468085106383,160.2,28.2,24.2,0,0,0,10,0,0,10,0.21178370417898007,0.007100001786414928,"[0.0004389467147680459, 0.004802874298322768, 0.006785758202817238, 0.002172424356921804]","[0.5957446808510638, 0.95, 0.9928057553956835, 1.0, 1.0]","[0.0851063829787234, 0.32857142857142857, 0.6402877697841727, 0.8478260869565217, 0.9343065693430657]",4.4,7,3.195063086614745,7,8.8,10,71.86743396226416,11.135270440251574,0.26361904761904764,0.12685714285714286,0.104,0.01619047619047619,0.10114285714285715,0.14057142857142857,0.1297142857142857,0.1305372492939818,0.008970489622090294,0.1111111111111111
b0fbfd62b946,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",881,153,92,63,5,0.6013071895424836,4.686274509803922,175.4,30.6,25.8,0,0,0,8,3,0,11,0.2104691422968355,0.006552963115606103,"[0.0021156871711814906, 0.0026476462766356623, 0.007717999458661556, 0.0006245933247334967]","[0.6013071895424836, 0.9210526315789473, 0.9801324503311258, 0.9933333333333333, 1.0]","[0.0718954248366013, 0.25, 0.5033112582781457, 0.7, 0.8120805369127517]",5.0,10,3.702029598308668,11,11.8,14,61.48489820359285,12.98091017964072,0.2519148550108302,0.15226590861265785,0.07975198176436567,0.007142857142857143,0.10797298676555643,0.15301110997705425,0.11933636252521701,0.13559901129965687,0.011599613386379437,0.1111111111111111
875f86d78274,"['llama-3.1-405b-instruct', 'low']","['model', 'semantic_distance']",767,142,85,64,5,0.5985915492957746,4.302816901408451,152.6,28.4,22.8,0,0,0,4,1,0,5,0.2140575580831085,0.00838147427827593,"[0.00012252614611671375, 0.0044640107287300945, 0.008092466327879161, 0.004083945353825891]","[0.5985915492957746, 0.9219858156028369, 1.0, 1.0, 1.0]","[0.09154929577464789, 0.2695035460992908, 0.5142857142857142, 0.7410071942446043, 0.8695652173913043]",3.4,5,3.616377121969914,9,11.0,12,75.70403797468357,10.550455696202537,0.31196392350043467,0.126526369168357,0.0528687337003767,0.0125,0.048304114749348016,0.20772384815995362,0.13095117357287742,0.16659590075997746,0.004422781813833432,0.5
