result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
bced33af67bc,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",734,112,85,60,5,0.7589285714285714,5.482142857142857,146.0,22.4,21.0,0,0,0,4,0,0,4,0.21100529509749116,0.01354816533351677,"[0.013619237962891079, 0.009855894683712757, 0.002605003910464837, 0.0010161941099648686]","[0.7589285714285714, 0.990990990990991, 1.0, 1.0, 1.0]","[0.10714285714285714, 0.3963963963963964, 0.6909090909090909, 0.8807339449541285, 0.9444444444444444]",3.4,5,3.01268969126112,8,10.2,14,59.816204724409474,11.22623622047244,0.2673564117042378,0.22269238008368442,0.0945618149965976,0.0463579898362507,0.04265734265734265,0.10862007557659731,0.09900201248027335,0.10052366852760315,0.010653335147635001,0.16666666666666666
d2ff03079092,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",720,114,80,53,5,0.7017543859649122,5.245614035087719,143.2,22.8,20.8,0,0,0,11,0,0,11,0.21299889091137358,0.01785121342889448,"[0.020990577008989125, 0.011417148867224003, 0.0011532376537392863, 0.002141463327836546]","[0.7017543859649122, 0.9646017699115044, 0.9821428571428571, 0.990990990990991, 1.0]","[0.10526315789473684, 0.4247787610619469, 0.7589285714285714, 0.918918918918919, 0.9727272727272728]",3.0,4,3.401652825071798,10,10.8,13,67.16975000000001,10.250250000000005,0.23703279938977878,0.1727470851040645,0.062803748501689,0.05483273400893538,0.09969488939740656,0.10007082924703062,0.11242780865206495,0.11888211488723754,0.00666614351987016,0.1
0b379e7331a0,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",769,122,90,64,5,0.7377049180327869,5.188524590163935,153.0,24.4,22.0,0,0,0,4,0,0,4,0.21297056295923772,0.009425347143945897,"[0.0033346733041837995, 0.0008269731253160717, 0.002137458695596839, 0.012551589162795085]","[0.7377049180327869, 0.9752066115702479, 1.0, 1.0, 1.0]","[0.09836065573770492, 0.36363636363636365, 0.6916666666666667, 0.8823529411764706, 0.9576271186440678]",2.6,5,3.4154510968231544,12,11.0,18,55.52035036496352,12.322277372262775,0.29457787817321285,0.1303467154887033,0.131099571490038,0.04934307578830906,0.05565832916238596,0.1513563262295514,0.09203305146510014,0.10345667839050293,0.00672279942414189,0.16666666666666666
564ba7ce02d6,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",807,132,98,69,5,0.7424242424242424,5.007575757575758,160.6,26.4,24.0,0,0,0,5,0,0,5,0.21137697586927878,0.012323920177422953,"[0.003618201586455788, 0.011310523073728485, 0.008845861062104804, 0.0008732546325568302]","[0.7424242424242424, 0.9923664122137404, 1.0, 1.0, 1.0]","[0.09090909090909091, 0.3816793893129771, 0.6692307692307692, 0.8527131782945736, 0.9375]",3.6,6,3.460411320252104,9,11.8,16,64.16652348993291,11.71253691275168,0.23920108046335253,0.16664640797880628,0.11446418367876993,0.05801257077554413,0.05286530569840528,0.1273294893771752,0.1299220819697678,0.11763349175453186,0.009909973604059763,0.3333333333333333
1d80e63cab8b,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",862,147,91,61,5,0.6190476190476191,4.761904761904762,171.6,29.4,25.8,0,0,0,15,0,0,15,0.213914666280069,0.02102416207508795,"[0.00664594125266027, 0.016282220993166674, 0.013552142514122872, 0.005568019390226081]","[0.6190476190476191, 0.958904109589041, 0.993103448275862, 1.0, 1.0]","[0.08163265306122448, 0.3424657534246575, 0.6275862068965518, 0.8125, 0.8951048951048951]",3.6,6,3.1942797207574825,9,10.0,14,66.40255621301777,12.394366863905322,0.23701209545603139,0.15485888634630054,0.0674915549743925,0.04012422360248447,0.10427209327666993,0.13147542769968398,0.1261131088591043,0.13912223815917968,0.00483459278247933,0.1
e7c2ebcb2598,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",747,121,91,64,5,0.7520661157024794,5.074380165289257,148.6,24.2,22.6,0,0,0,13,0,0,13,0.2102774874795051,0.021920945067620143,"[0.007544521256989123, 0.00783497203480113, 0.01725344766270029, 0.011208949180749744]","[0.7520661157024794, 0.9833333333333333, 1.0, 1.0, 1.0]","[0.09090909090909091, 0.31666666666666665, 0.6386554621848739, 0.847457627118644, 0.9487179487179487]",4.2,6,3.2612390568542944,9,10.6,14,60.99000000000002,11.46,0.2259882721024541,0.19472519615247114,0.09333018135509678,0.05365016003164671,0.1182888248621274,0.10747410195063029,0.08623754281084534,0.11201572060585022,0.012108950383607153,0.2
740b3c1a4a19,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",584,98,74,51,5,0.7551020408163265,4.846938775510204,116.0,19.6,18.4,0,0,0,10,0,0,10,0.21149321953455608,0.0187269799035005,"[0.010435696442921943, 0.004989650273563906, 0.009254127198999595, 0.012774485891515558]","[0.7551020408163265, 0.979381443298969, 1.0, 1.0, 1.0]","[0.12244897959183673, 0.4536082474226804, 0.7604166666666666, 0.9473684210526315, 0.9787234042553191]",2.4,4,2.8159418683674002,7,8.4,12,79.83051327433631,7.739044247787611,0.2715274599542334,0.12647025171624715,0.11052631578947368,0.04119565217391304,0.09978260869565217,0.11147025171624714,0.11636155606407322,0.12288071393966675,0.009677486273505176,0.1
3590f361b329,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",735,121,86,60,5,0.7107438016528925,4.958677685950414,146.2,24.2,22.4,0,0,0,7,0,0,7,0.21348513162742228,0.012996533541537958,"[0.0009859769322753675, 0.012129288453322201, 0.012479768022076121, 0.00039803367540222623]","[0.7107438016528925, 0.95, 0.9915966386554622, 1.0, 1.0]","[0.0743801652892562, 0.2833333333333333, 0.6386554621848739, 0.8728813559322034, 0.9743589743589743]",2.0,3,3.7026289564094443,10,8.6,10,67.24708695652174,10.736318840579713,0.30653846153846154,0.16405860805860806,0.07205128205128206,0.016666666666666666,0.06740659340659341,0.14834065934065935,0.1625091575091575,0.10447635650634765,0.005693662087772777,0.16666666666666666
e68aa7e6b84b,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",587,93,73,50,5,0.7849462365591398,5.236559139784946,116.6,18.6,17.6,0,0,0,3,1,0,4,0.21179234276012499,0.01430743073852099,"[0.00041432904474661414, 0.005829514126585, 0.00882877505788901, 0.013542243247821356]","[0.7849462365591398, 1.0, 1.0, 1.0, 1.0]","[0.11827956989247312, 0.41304347826086957, 0.7472527472527473, 0.9111111111111111, 0.9550561797752809]",2.6,6,3.1280497808407697,10,9.2,15,62.890307692307715,9.654692307692311,0.281998474446987,0.15727943046020848,0.1534146961606916,0.008695652173913044,0.06811085685227561,0.12713958810068648,0.09805237732011186,0.12868836879730225,0.009079239822367358,0.5
0287492c5d7e,"['claude-3-5', 'stamp-letter-send']","['model_type', 'id']",657,103,82,62,5,0.7961165048543689,5.300970873786408,130.6,20.6,20.0,0,0,0,7,0,0,7,0.21584100895997144,0.014411091190528219,"[0.01076863403920525, 0.004718642095069725, 0.00010105579618421845, 0.013233850450597245]","[0.7961165048543689, 1.0, 1.0, 1.0, 1.0]","[0.0970873786407767, 0.3333333333333333, 0.6633663366336634, 0.89, 0.98989898989899]",2.4,4,3.314650262018683,9,9.8,12,67.92457894736843,9.449368421052636,0.2710609527771999,0.19248595797794882,0.11833576034949032,0.008695652173913044,0.08858747659662991,0.097678385687539,0.1350821718327439,0.1013446831703186,0.000981907422674455,0.16666666666666666
