result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
1d24146a3700,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",705,130,86,54,5,0.6615384615384615,4.338461538461538,140.2,26.0,23.0,0,0,0,12,2,0,14,0.20888315835755492,0.012932871584292085,"[0.0015076404962784395, 0.0036459606010597057, 0.012028569858390986, 0.00868357221285504]","[0.6615384615384615, 0.9457364341085271, 1.0, 1.0, 1.0]","[0.08461538461538462, 0.3333333333333333, 0.6796875, 0.905511811023622, 0.9761904761904762]",4.6,10,3.3043591470579807,9,11.8,15,73.74843661971833,10.02825352112676,0.23769151138716357,0.1538302277432712,0.0724679089026915,0.03074327122153209,0.1290496894409938,0.1250600414078675,0.10758385093167702,0.12627267003059386,0.015076173415820404,0.14285714285714285
ff93efb08f08,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",708,116,84,62,5,0.7241379310344828,5.008620689655173,140.8,23.2,20.6,0,0,0,4,1,0,5,0.2116686083979231,0.01038431015722839,"[0.004563909007143652, 0.006000213298461871, 0.006041361527009459, 0.0041631364818418]","[0.7241379310344828, 0.9826086956521739, 1.0, 1.0, 1.0]","[0.09482758620689655, 0.28695652173913044, 0.5789473684210527, 0.8141592920353983, 0.9285714285714286]",2.6,4,3.673141481806669,12,9.6,13,71.10154198473285,9.85090076335878,0.29280412569886255,0.18347792558318873,0.08505880084827452,0.0293859649122807,0.05694042799305957,0.17616637748216696,0.10539329091960671,0.12530295848846434,0.009505273335084052,0.3333333333333333
add266348e83,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",638,116,65,39,5,0.5603448275862069,4.422413793103448,126.8,23.2,20.2,0,0,0,3,0,0,3,0.2073708374490622,0.00979808360546619,"[0.003942809502283734, 0.0018099096688357352, 0.003100215166043002, 0.010743232873769909]","[0.5603448275862069, 0.9043478260869565, 0.9912280701754386, 1.0, 1.0]","[0.10344827586206896, 0.34782608695652173, 0.5964912280701754, 0.8230088495575221, 0.9464285714285714]",3.6,6,3.370339266399362,9,10.4,13,73.77912500000001,9.328375000000005,0.23376623376623376,0.17010822510822513,0.09108225108225108,0.007142857142857143,0.03365800865800866,0.17463203463203464,0.13145021645021646,0.12297593712806702,0.018100815232805822,0.25
bff04f00b540,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",717,124,77,52,5,0.6209677419354839,4.709677419354839,142.6,24.8,21.6,0,0,0,8,0,0,8,0.2110320003773472,0.00496202261893304,"[0.002264084622391277, 0.004065906623053173, 0.0016259714638515999, 0.001968082528570031]","[0.6209677419354839, 0.943089430894309, 0.9918032786885246, 1.0, 1.0]","[0.0967741935483871, 0.3333333333333333, 0.6229508196721312, 0.7768595041322314, 0.8833333333333333]",2.4,5,3.7177390766523977,11,11.4,14,64.12333333333335,11.022962962962964,0.26847427934384455,0.1391232680363115,0.06142857142857142,0.02691511387163561,0.08163640707118967,0.1691232680363115,0.1415448319796146,0.13567326903343202,0.010778489376235822,0.3333333333333333
49244880e0bf,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",982,181,111,71,5,0.6132596685082873,4.342541436464089,195.6,36.2,29.8,0,0,0,10,1,0,11,0.2077026836349211,0.011853855307056058,"[0.0021107480352224317, 0.002224599706689312, 0.007521230524236505, 0.011851132347963866]","[0.6132596685082873, 0.9777777777777777, 1.0, 1.0, 1.0]","[0.06629834254143646, 0.2833333333333333, 0.5642458100558659, 0.7696629213483146, 0.903954802259887]",5.2,8,4.212319771731536,13,13.8,15,69.64692537313434,13.531781094527364,0.26504565030146426,0.15966395964070382,0.06558767072720562,0.01730232558139535,0.0853707395102744,0.15846363971945368,0.11339830195644149,0.13115044355392455,0.01743712286108806,0.14285714285714285
992a719682df,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",680,118,83,56,5,0.7033898305084746,4.694915254237288,135.2,23.6,20.6,0,0,0,1,0,0,1,0.2091647469378137,0.011054077173181784,"[0.0019156068235963442, 0.0008254102516523643, 0.006378199809636803, 0.012988937461478056]","[0.7033898305084746, 0.9487179487179487, 0.9913793103448276, 1.0, 1.0]","[0.11016949152542373, 0.3504273504273504, 0.6293103448275862, 0.8608695652173913, 0.956140350877193]",3.0,5,4.103099605293708,12,11.8,13,71.08445454545458,9.902969696969695,0.25308966395922916,0.18533604077082338,0.06876891224717312,0.044409937888198754,0.03424510272336359,0.15126612517916865,0.1437609491957318,0.1306548821926117,0.014512996255302835,0.5
15a594d78065,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",549,96,66,43,5,0.6875,4.645833333333333,109.0,19.2,17.6,0,0,0,8,0,0,8,0.20576622927043658,0.017769118240385337,"[0.0031978403076980966, 0.01401368018352625, 0.015377585454420611, 0.0029491305351257158]","[0.6875, 0.9789473684210527, 1.0, 1.0, 1.0]","[0.125, 0.4105263157894737, 0.7127659574468085, 0.8817204301075269, 0.9565217391304348]",2.0,4,2.862936507936508,8,9.0,10,70.30285714285716,8.67047619047619,0.30363590134757185,0.13566615814899569,0.08511568777015001,0.019221967963386728,0.09135964912280702,0.12136155606407323,0.11936181032290871,0.1362028181552887,0.021310031590057066,0.2
43d187f5a1e3,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",658,106,73,50,5,0.6886792452830188,5.113207547169812,130.8,21.2,17.8,0,0,0,3,2,0,5,0.21055027334057555,0.01639700413626781,"[0.0010344854172538165, 0.01576974640289941, 0.008420371648037078, 0.007569404804345314]","[0.6886792452830188, 0.9714285714285714, 1.0, 1.0, 1.0]","[0.11320754716981132, 0.3523809523809524, 0.6153846153846154, 0.8058252427184466, 0.9215686274509803]",2.4,5,3.457440268952961,13,9.8,11,67.50825210084034,9.755865546218487,0.22921916792884536,0.16129569355375806,0.10402017337501208,0.015384615384615385,0.05097322032805904,0.18457187973317005,0.11677408612892483,0.1404084801673889,0.011741943449779135,0.5
2232085c3c64,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",599,103,70,47,5,0.6796116504854369,4.70873786407767,119.0,20.6,18.8,0,0,0,2,4,0,6,0.21188035168987418,0.010913901557826053,"[0.002784262853439412, 0.013424547182189106, 0.0010204000605477381, 0.0045985930194758495]","[0.6796116504854369, 0.9803921568627451, 1.0, 1.0, 1.0]","[0.11650485436893204, 0.47058823529411764, 0.801980198019802, 0.95, 0.98989898989899]",4.2,6,2.880277608915907,8,9.0,11,74.61975862068967,8.61489655172414,0.26514202172096907,0.16449456975772764,0.05457393483709273,0.020050125313283207,0.0879281537176274,0.14525898078529656,0.09745196324143691,0.12524432301521302,0.009081786751181875,0.25
1926052644b7,"['llama-3.1', 'stamp-letter-send']","['model_type', 'id']",786,135,84,64,5,0.6222222222222222,4.725925925925926,156.4,27.0,23.0,0,0,0,7,0,0,7,0.21251113564958649,0.005070373432482386,"[0.003988670800631727, 0.000270472319571502, 0.0006350446096706763, 0.005246559135090867]","[0.6222222222222222, 0.9701492537313433, 1.0, 1.0, 1.0]","[0.07407407407407407, 0.29850746268656714, 0.556390977443609, 0.7803030303030303, 0.916030534351145]",2.6,5,3.5968154085301163,10,10.4,13,64.57129032258067,11.954193548387096,0.2658469407830022,0.14636275915048294,0.12274177229420197,0.017028985507246377,0.06770912378329258,0.15964512895459188,0.13078140955378806,0.1155837881565094,0.007820218831757264,0.2
