result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
ffcd91e495be,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",748,119,85,58,5,0.7142857142857143,5.218487394957983,148.8,23.8,21.8,0,0,0,7,2,0,9,0.21537759267266995,0.007260679456340541,"[0.0050903555237766795, 0.0012086226826622526, 0.0019202385629926433, 0.006302142143249506]","[0.7142857142857143, 0.9745762711864406, 1.0, 1.0, 1.0]","[0.09243697478991597, 0.3559322033898305, 0.7008547008547008, 0.9051724137931034, 1.0]",3.6,5,3.132963910201762,8,10.6,12,58.10038461538464,11.614615384615387,0.2583497453310696,0.171490662139219,0.08138539898132427,0.02497792869269949,0.07240747028862479,0.11843803056027165,0.13696434634974533,0.12345755461490515,0.00023546621378617294,0.5
1f4e60d44bc6,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",510,88,66,45,5,0.75,4.738636363636363,101.2,17.6,16.4,0,0,0,9,0,0,9,0.21351702460134872,0.03159005924908803,"[0.00520645897797864, 0.0194195674525367, 0.026811112960179656, 0.011742979107481066]","[0.75, 0.9770114942528736, 1.0, 1.0, 1.0]","[0.11363636363636363, 0.39080459770114945, 0.6976744186046512, 0.8705882352941177, 0.9404761904761905]",2.0,4,2.841936102606417,7,8.8,10,79.06527272727274,7.150181818181821,0.24876822523881348,0.18125942684766214,0.09465811965811965,0.05982905982905983,0.11124308697838109,0.11391402714932126,0.0799270990447461,0.09733865477822044,0.0034856699288562942,0.16666666666666666
710439d5bb4d,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",369,57,48,31,5,0.8421052631578947,5.350877192982456,73.0,11.4,10.6,0,0,0,3,1,0,4,0.20933565093624976,0.018467543167727335,"[0.0076844573020935225, 0.011753710110982252, 0.009086695739201123, 0.008410223183177773]","[0.8421052631578947, 1.0, 1.0, 1.0, 1.0]","[0.17543859649122806, 0.5, 0.7818181818181819, 0.9444444444444444, 1.0]",1.4,3,2.62584229390681,7,7.2,10,69.10063636363638,6.9004242424242435,0.25166666666666665,0.205,0.08833333333333333,0.03666666666666667,0.06999999999999999,0.16333333333333333,0.08833333333333333,0.14629007469524036,0.011848417259054222,1.0
9034cba42c79,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",780,137,93,66,5,0.6788321167883211,4.598540145985401,155.2,27.4,24.2,0,0,0,14,0,0,14,0.21485085362321013,0.00661825826971521,"[0.0044860920408270055, 0.003368247472322894, 4.141976981808515e-05, 0.005340757256462436]","[0.6788321167883211, 0.9852941176470589, 1.0, 1.0, 1.0]","[0.08759124087591241, 0.3602941176470588, 0.6962962962962963, 0.9029850746268657, 0.9924812030075187]",3.8,6,3.3457745167917485,11,10.6,13,70.50161538461539,11.176717948717947,0.2490074441687345,0.16028004253810707,0.05905707196029777,0.02967032967032967,0.10342077277561149,0.11591634172279333,0.13075150655795817,0.1282072446563027,0.0008180118851334739,0.25
f1998bcdc0b7,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",650,108,78,51,5,0.7222222222222222,4.925925925925926,129.2,21.6,20.0,0,0,0,14,0,0,14,0.2147135342803656,0.011041842840999808,"[0.008644072094348948, 0.005220009660943131, 0.0009609846940963063, 0.00725861923261123]","[0.7222222222222222, 0.9813084112149533, 1.0, 1.0, 1.0]","[0.1111111111111111, 0.42990654205607476, 0.7358490566037735, 0.8666666666666667, 0.9326923076923077]",2.6,4,3.179859558440518,10,9.2,13,77.31965853658538,8.586113821138216,0.26355555555555554,0.1388888888888889,0.08303703703703703,0.017407407407407406,0.12237037037037037,0.09155555555555556,0.1557037037037037,0.11112917011434381,0.0010926505708225287,0.14285714285714285
333d38ad4e85,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",593,93,74,51,5,0.7956989247311828,5.268817204301075,117.8,18.6,17.4,0,0,0,12,0,0,12,0.20686188393948124,0.025102257410341167,"[0.0035648447653603976, 0.014816806382603104, 0.025605078538258857, 0.006217785134459974]","[0.7956989247311828, 1.0, 1.0, 1.0, 1.0]","[0.12903225806451613, 0.3695652173913043, 0.6593406593406593, 0.8333333333333334, 0.9101123595505618]",3.0,5,2.8637508145999586,8,8.4,9,64.66285714285716,9.457142857142859,0.22162111801242237,0.20763975155279504,0.09567701863354038,0.04011904761904762,0.14187267080745342,0.10449171842650103,0.09649171842650103,0.11621443791822954,0.016795951252591257,0.16666666666666666
49aa0a07e4bd,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",578,98,72,53,5,0.7346938775510204,4.8061224489795915,114.8,19.6,18.0,0,0,0,8,0,0,8,0.21134897854573842,0.03064586872404275,"[0.0071543518340949075, 0.024024185387775177, 0.020553008655104982, 0.009560191571110432]","[0.7346938775510204, 0.9690721649484536, 0.9895833333333334, 1.0, 1.0]","[0.10204081632653061, 0.29896907216494845, 0.6354166666666666, 0.8315789473684211, 0.9361702127659575]",2.6,4,3.0368651561204754,10,9.0,14,72.9428623853211,8.500990825688074,0.2659001340637496,0.20670232068973488,0.08023686521970275,0.023026315789473683,0.08121691745833622,0.1515723597531378,0.13230387398007534,0.10876318722060233,0.007821762040076896,0.14285714285714285
3f50c25516df,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",722,122,82,54,5,0.6721311475409836,4.819672131147541,143.6,24.4,22.2,0,0,0,11,0,0,11,0.21041795271914127,0.014378482683912508,"[0.001467878658534122, 0.000925372534500063, 0.0075980033074225795, 0.01876571086736825]","[0.6721311475409836, 0.9752066115702479, 1.0, 1.0, 1.0]","[0.09836065573770492, 0.39669421487603307, 0.7166666666666667, 0.8991596638655462, 0.9661016949152542]",3.8,6,3.0348470495060367,8,9.6,10,66.01229411764707,10.809176470588238,0.23411224790535134,0.1753252494631805,0.065929855585028,0.025150519978106183,0.09248031661824765,0.12496526462043703,0.14993052924087408,0.12494620048638547,0.009683813693271204,0.25
2ccac561caf7,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",626,103,78,57,5,0.7572815533980582,4.980582524271845,124.4,20.6,18.8,0,0,0,9,0,0,9,0.2120367864842403,0.015055958257622348,"[0.00862574882202452, 0.008882619373567324, 0.008282103261562312, 0.0043214450580905395]","[0.7572815533980582, 0.9901960784313726, 1.0, 1.0, 1.0]","[0.1262135922330097, 0.3235294117647059, 0.5643564356435643, 0.76, 0.8787878787878788]",2.0,4,3.2813601923687674,8,8.8,11,67.9926086956522,9.489565217391306,0.2631619446197451,0.14805338736285029,0.13726852005624385,0.01,0.10727870594878268,0.1541185327886095,0.10719777238958825,0.11983971704136241,0.006446146163073152,0.25
7c6651c2a411,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",518,85,71,46,5,0.8352941176470589,4.976470588235294,102.8,17.0,16.4,2,0,1,6,1,2,7,0.21009112366155727,0.01895802860480196,"[0.008920395374298118, 0.005894320872094905, 0.015485061776070369, 0.007616279187140529]","[0.8352941176470589, 1.0, 1.0, 1.0, 1.0]","[0.1411764705882353, 0.47619047619047616, 0.8795180722891566, 1.0, 1.0]",2.2,3,2.7592096122268535,10,7.6,11,79.06527272727274,7.150181818181821,0.2775246812011518,0.1723364870423694,0.06618675442204854,0.05762032085561497,0.1125668449197861,0.09941896338955163,0.07856334841628959,0.13595754450017755,0.010337471808439191,1.0
