result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
R_8FjH6e5PsshRtjr_Q2,"['human', 'stamp-letter-send']","['model', 'id']",246,53,41,17,5,0.7735849056603774,3.490566037735849,48.4,10.6,10.6,6,0,1,4,0,6,4,0.2010745191398789,0.0363541841506958,"[0.021089722712834658, 0.002337471644083683, 0.00812226335207622, 0.04115891059239704]","[0.7735849056603774, 0.9807692307692307, 1.0, 1.0, 1.0]","[0.18867924528301888, 0.5192307692307693, 0.8431372549019608, 0.96, 0.9795918367346939]",1.4,3,2.173419540229885,6,5.8,7,109.64900000000003,1.046000000000003,0.19904761904761906,0.18476190476190477,0.04523809523809524,0.014285714285714285,0.19904761904761906,0.1295238095238095,0.10047619047619047,0.19137899803392816,0.02183259149465977,1.0
R_25FmW7vrOnS60wE_Q2,"['human', 'stamp-letter-send']","['model', 'id']",345,64,46,22,3,0.71875,4.25,114.0,21.333333333333332,19.333333333333332,1,0,1,6,0,1,6,0.20624142420756353,0.02855496037574043,"[0.019626982864879433, 0.008927977510860996]","[0.71875, 0.9523809523809523, 1.0, 1.0, 1.0]","[0.203125, 0.6507936507936508, 0.9032258064516129, 0.9836065573770492, 1.0]",3.3333333333333335,6,2.895760971055089,7,9.0,10,88.96400000000001,7.061333333333334,0.21028985507246375,0.1314855072463768,0.05565217391304348,0.08115942028985508,0.11764492753623189,0.08398550724637681,0.11815217391304347,0.21092376203247995,0.0114987813592905,1.0
R_2YKQTEPFuU2GBvV_Q2,"['human', 'stamp-letter-send']","['model', 'id']",521,98,62,32,5,0.6326530612244898,4.204081632653061,103.4,19.6,18.0,7,0,0,3,0,7,3,0.2042813996874517,0.028164422462598926,"[0.003781165821211685, 0.013870943134481256, 0.023033303564245045, 0.015643432405259866]","[0.6326530612244898, 0.9278350515463918, 0.9895833333333334, 1.0, 1.0]","[0.11224489795918367, 0.4845360824742268, 0.875, 0.9789473684210527, 1.0]",4.8,7,2.772054168853953,10,8.4,12,85.22091891891894,6.887819819819821,0.12242395285873546,0.1308021447151882,0.1422530126877953,0.10693528693528694,0.12879545575197748,0.09167701863354037,0.050531400966183575,0.1703526431863958,0.015418830399514138,1.0
R_2eaDBbNJB41Q6MF_Q2,"['human', 'stamp-letter-send']","['model', 'id']",722,145,93,51,6,0.6413793103448275,3.910344827586207,119.5,24.166666666666668,20.833333333333332,12,0,0,3,0,12,3,0.20573983786152858,0.027688642291279597,"[0.01417098556246077, 0.004112168720790316, 0.013573260895617612, 0.020976613326506188, 0.016388577222824108]","[0.6413793103448275, 0.9861111111111112, 1.0, 1.0, 1.0]","[0.08275862068965517, 0.3541666666666667, 0.6923076923076923, 0.8802816901408451, 0.9574468085106383]",4.333333333333333,7,3.6323171169649506,10,10.333333333333334,14,82.1205907172996,8.347088607594937,0.18046996576408342,0.17852668845315905,0.07336212262682851,0.015219421101774043,0.15086562402738873,0.1309504357298475,0.10426392779333955,0.17239581093643652,0.012501954051360398,0.5
R_8PvUUEqSWnAZrWx_Q2,"['human', 'stamp-letter-send']","['model', 'id']",589,119,76,38,5,0.6386554621848739,3.8739495798319328,117.0,23.8,20.6,10,0,0,7,0,10,7,0.19818625714666982,0.005215637143860516,"[0.0036757724916833268, 0.003139880223151953, 0.0008138239383697621, 0.00280179763451599]","[0.6386554621848739, 0.9745762711864406, 1.0, 1.0, 1.0]","[0.09243697478991597, 0.4406779661016949, 0.7606837606837606, 0.9051724137931034, 0.9739130434782609]",5.0,11,3.0919648557600365,10,11.0,18,82.27590697674421,8.192930232558144,0.18484622928558855,0.17986370608796237,0.0427786858450474,0.056240601503759396,0.1614192672316242,0.10504890990016848,0.09093922096210426,0.16302375359968704,0.027609115481077917,0.5
R_8mxVCke66o4WOVl_Q2,"['human', 'stamp-letter-send']","['model', 'id']",350,73,52,17,4,0.7123287671232876,3.73972602739726,86.75,18.25,16.0,8,0,0,1,0,8,1,0.19980384979177923,0.04400774461251716,"[0.030938327312469482, 0.0019137408998277372, 0.033159548706478525]","[0.7123287671232876, 0.9305555555555556, 0.9859154929577465, 1.0, 1.0]","[0.1506849315068493, 0.5138888888888888, 0.8169014084507042, 0.9142857142857143, 0.9710144927536232]",4.0,7,2.4874831081081084,7,9.25,13,99.5923611111111,4.398858024691361,0.19204545454545455,0.13712121212121212,0.0,0.11856060606060606,0.14962121212121213,0.11931818181818182,0.015151515151515152,0.167457842465603,0.024373930190859094,0.5
R_8DSuE0JfUBgPxHX_Q2,"['human', 'stamp-letter-send']","['model', 'id']",243,49,41,27,3,0.8367346938775511,3.816326530612245,80.33333333333333,16.333333333333332,15.0,0,1,0,0,4,1,4,0.20323489228544753,0.01829026838143666,"[0.007954190174738557, 0.010336078206698102]","[0.8367346938775511, 0.9791666666666666, 1.0, 1.0, 1.0]","[0.1836734693877551, 0.4791666666666667, 0.7446808510638298, 0.8478260869565217, 0.9111111111111111]",1.6666666666666667,3,2.9901234567901236,8,7.333333333333333,9,115.69142857142859,2.3396825396825385,0.21212121212121213,0.17508417508417506,0.0,0.08585858585858586,0.13804713804713803,0.1111111111111111,0.09259259259259259,0.2089779774347941,0.017511845203522503,1.0
R_8VyQYwyI8iMwwKJ_Q2,"['human', 'stamp-letter-send']","['model', 'id']",383,70,58,38,3,0.8285714285714286,4.385714285714286,127.0,23.333333333333332,22.333333333333332,1,0,0,2,0,1,2,0.20464899131278394,0.0192029524826961,"[0.009971052453169094, 0.009231900029527007]","[0.8285714285714286, 1.0, 1.0, 1.0, 1.0]","[0.18571428571428572, 0.5362318840579711, 0.8382352941176471, 0.9253731343283582, 0.9848484848484849]",4.0,6,2.971177059412353,8,9.333333333333334,12,81.74500000000002,8.316666666666666,0.23118279569892472,0.17840501792114696,0.10376344086021505,0.03539426523297491,0.06003584229390681,0.12912186379928314,0.09301075268817204,0.16707880388606677,0.014683647148849677,0.3333333333333333
R_82McyGIYTts4bOU_Q2,"['human', 'stamp-letter-send']","['model', 'id']",475,90,64,34,5,0.7111111111111111,4.211111111111111,94.2,18.0,17.4,0,0,0,6,2,0,8,0.2145260400313107,0.012614987293879207,"[0.009936455885569268, 0.009411106506983458, 0.004003545912829309, 0.001878866282376379]","[0.7111111111111111, 0.9775280898876404, 1.0, 1.0, 1.0]","[0.14444444444444443, 0.5168539325842697, 0.8636363636363636, 0.9885057471264368, 1.0]",2.4,5,2.7935681114551083,9,9.4,15,80.73987628865981,6.8172371134020615,0.16718793828892006,0.1380890603085554,0.04540322580645161,0.03895161290322581,0.11163744740532959,0.08805049088359046,0.138734221598878,0.18423442045847574,0.005070450288203854,1.0
R_2q0iH8KvyiaD0id_Q2,"['human', 'stamp-letter-send']","['model', 'id']",444,85,56,27,3,0.6588235294117647,4.176470588235294,147.33333333333334,28.333333333333332,24.0,0,0,0,10,0,0,10,0.19788473521881972,0.008041685590377212,"[0.005054393591302803, 0.0029872919990744096]","[0.6588235294117647, 0.9166666666666666, 1.0, 1.0, 1.0]","[0.1411764705882353, 0.5476190476190477, 0.8192771084337349, 0.9512195121951219, 0.9876543209876543]",6.333333333333333,10,3.832374139270691,13,13.333333333333334,18,72.85326007326009,10.633406593406594,0.18546365914786966,0.14661654135338345,0.09774436090225563,0.05576441102756892,0.11716791979949874,0.08834586466165413,0.08521303258145363,0.16121684782432788,0.02821215933677812,1.0
