result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
189f2e87f52e,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",751,135,82,56,5,0.6074074074074074,4.488888888888889,149.4,27.0,22.4,0,0,0,9,1,0,10,0.208215898352784,0.005074293188480308,"[0.0015005190750379815, 0.0041154117295236214, 0.004438427309969295, 9.42282624297186e-05]","[0.6074074074074074, 0.9776119402985075, 1.0, 1.0, 1.0]","[0.0962962962962963, 0.3283582089552239, 0.6015037593984962, 0.8333333333333334, 0.916030534351145]",3.0,5,3.4552996227318853,11,9.2,12,73.01189473684212,10.62784210526316,0.24346320346320346,0.15854256854256854,0.047619047619047616,0.01455026455026455,0.08366810966810967,0.17056084656084655,0.12354304954304954,0.11894644571073128,0.014492443366839358,0.16666666666666666
0adbced84360,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",759,130,91,64,5,0.7,4.723076923076923,151.0,26.0,23.2,0,0,0,6,1,0,7,0.21252830459603242,0.005369419727847838,"[0.0004646533366405581, 0.0029253206082752725, 0.0016324562467498194, 0.005716409264030026]","[0.7, 0.9844961240310077, 1.0, 1.0, 1.0]","[0.09230769230769231, 0.3488372093023256, 0.6640625, 0.84251968503937, 0.9365079365079365]",3.8,6,3.5789940524606427,11,9.6,15,65.30209395973156,11.554147651006712,0.2464937269927128,0.18561402223724738,0.08100548418601157,0.03545051085568327,0.0607908872361205,0.15010254676583276,0.11870883104199534,0.11697307680592392,0.005867630880342534,0.2
99a4ababf08c,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",559,102,65,44,5,0.6372549019607843,4.411764705882353,111.0,20.4,17.6,0,0,0,4,2,0,6,0.2091692648276718,0.019468265169798715,"[0.004124852744015778, 0.013152436776594667, 0.015207463201850346, 0.006451777617136639]","[0.6372549019607843, 0.9702970297029703, 1.0, 1.0, 1.0]","[0.09803921568627451, 0.38613861386138615, 0.7, 0.8787878787878788, 0.9795918367346939]",3.4,5,3.1459217188891295,9,9.4,11,84.39185714285716,7.053142857142856,0.23660130718954248,0.17130718954248367,0.10603485838779957,0.021111111111111112,0.07620915032679738,0.1682570806100218,0.06398692810457517,0.14958940491531836,0.012585710417063745,0.3333333333333333
1926052644b7,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",786,135,84,64,5,0.6222222222222222,4.725925925925926,156.4,27.0,23.0,0,0,0,7,0,0,7,0.21251113564958649,0.005070373432482386,"[0.003988670800631727, 0.000270472319571502, 0.0006350446096706763, 0.005246559135090867]","[0.6222222222222222, 0.9701492537313433, 1.0, 1.0, 1.0]","[0.07407407407407407, 0.29850746268656714, 0.556390977443609, 0.7803030303030303, 0.916030534351145]",2.6,5,3.5968154085301163,10,10.4,13,64.57129032258067,11.954193548387096,0.2658469407830022,0.14636275915048294,0.12274177229420197,0.017028985507246377,0.06770912378329258,0.15964512895459188,0.13078140955378806,0.10812692750583995,0.005901968773234401,0.2
538960682459,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",687,115,82,55,5,0.7130434782608696,4.860869565217391,136.6,23.0,20.8,0,0,0,5,0,0,5,0.2136323711687467,0.01944501495034491,"[0.011311670901283377, 0.004790577623579234, 0.0088769874789498, 0.01391079389687741]","[0.7130434782608696, 0.9736842105263158, 1.0, 1.0, 1.0]","[0.10434782608695652, 0.38596491228070173, 0.6637168141592921, 0.8482142857142857, 0.954954954954955]",2.6,5,3.1373751749329917,9,10.4,13,66.58093129770995,10.481435114503817,0.2017169625865278,0.1557270426835644,0.10544157935462282,0.023905723905723906,0.05862350210176297,0.13185896229374489,0.09674592718070979,0.15025944420785614,0.0036594977349139746,1.0
264bc176731b,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",573,100,63,46,5,0.63,4.63,113.8,20.0,17.0,0,0,0,1,1,0,2,0.21234741464329226,0.014779593246151718,"[0.009920981195237905, 0.004165755076841887, 0.009617032246156176, 0.005855417974067467]","[0.63, 0.9393939393939394, 0.9897959183673469, 1.0, 1.0]","[0.1, 0.26262626262626265, 0.45918367346938777, 0.6907216494845361, 0.84375]",2.2,3,3.2164313429019313,10,10.0,15,73.78848648648652,8.482414414414414,0.2794107997265892,0.158514012303486,0.11990977443609023,0.00909090909090909,0.02509090909090909,0.22185235816814763,0.11661107313738892,0.12258248979395087,0.006229410785822842,0.3333333333333333
d032cabe03f6,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",737,128,80,57,5,0.625,4.6328125,146.6,25.6,21.4,0,0,0,6,0,0,6,0.21045743997085065,0.011433476813478394,"[0.006066570679346711, 0.00528679749904537, 0.0033022230177323364, 0.00821136243083237]","[0.625, 0.952755905511811, 0.9920634920634921, 1.0, 1.0]","[0.1015625, 0.31496062992125984, 0.5634920634920635, 0.784, 0.9193548387096774]",3.6,5,3.3396311619915204,9,9.0,11,68.83946575342466,10.911698630136986,0.246935817805383,0.18800207039337474,0.07683850931677018,0.017028985507246377,0.061285714285714284,0.19593581780538302,0.10531469979296065,0.12907795472578568,0.01000936013070608,0.3333333333333333
6faecc087cf7,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",611,110,69,48,5,0.6272727272727273,4.472727272727273,121.4,22.0,19.4,0,0,0,9,2,0,11,0.2099432422125593,0.007172627130932474,"[0.0037213647176349007, 0.004081130647040021, 0.004744337016330175, 0.0017984218808598518]","[0.6272727272727273, 0.944954128440367, 0.9814814814814815, 1.0, 1.0]","[0.10909090909090909, 0.3853211009174312, 0.6574074074074074, 0.8691588785046729, 0.9433962264150944]",3.4,5,3.0266951995373046,8,9.2,11,80.89183471074382,7.988495867768595,0.282324467294719,0.18221173487077377,0.06179904306220095,0.019617224880382776,0.09853836171456308,0.11636902533012372,0.09784270954065004,0.12030075174389464,0.01103775564728876,0.5
bff04f00b540,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",717,124,77,52,5,0.6209677419354839,4.709677419354839,142.6,24.8,21.6,0,0,0,8,0,0,8,0.2110320003773472,0.00496202261893304,"[0.002264084622391277, 0.004065906623053173, 0.0016259714638515999, 0.001968082528570031]","[0.6209677419354839, 0.943089430894309, 0.9918032786885246, 1.0, 1.0]","[0.0967741935483871, 0.3333333333333333, 0.6229508196721312, 0.7768595041322314, 0.8833333333333333]",2.4,5,3.7177390766523977,11,11.4,14,64.12333333333335,11.022962962962964,0.26847427934384455,0.1391232680363115,0.06142857142857142,0.02691511387163561,0.08163640707118967,0.1691232680363115,0.1415448319796146,0.12980143771027075,0.008860239317712959,0.3333333333333333
3ee8b18a7400,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",611,109,72,52,5,0.6605504587155964,4.504587155963303,121.4,21.8,19.4,0,0,0,11,1,0,12,0.20862051822121505,0.023964556850693916,"[0.0027221863814180236, 0.02632815741529368, 0.01623078388999208, 0.0026479860146840506]","[0.6605504587155964, 1.0, 1.0, 1.0, 1.0]","[0.10091743119266056, 0.35185185185185186, 0.616822429906542, 0.8113207547169812, 0.9142857142857143]",2.8,4,3.0298267824129894,9,8.4,10,78.09514049586781,8.378578512396697,0.2561972667855021,0.14983957219251337,0.04707070707070707,0.039037433155080216,0.1118597742127154,0.17161021984551397,0.15140819964349375,0.14264762762821082,0.01368320362997727,1.0
