result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
4550c7034f90,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",726,127,78,53,5,0.6141732283464567,4.590551181102362,144.4,25.4,22.0,0,0,0,6,0,0,6,0.2087648064979448,0.013072140975828914,"[0.008474224740332298, 0.011985980237756932, 0.002575833508462605, 0.003108243465105992]","[0.6141732283464567, 0.9365079365079365, 0.984, 1.0, 1.0]","[0.09448818897637795, 0.36507936507936506, 0.64, 0.8225806451612904, 0.926829268292683]",3.2,4,3.156423478482302,7,9.4,11,74.55318367346942,10.164435374149658,0.2050273398099485,0.17520836651271435,0.06185609881262055,0.02508361204013378,0.057025180938224417,0.17308577091185787,0.10992107731238165,0.1485582989396401,0.01813805628785664,0.5
52c66a94eb1e,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",651,114,69,48,5,0.6052631578947368,4.605263157894737,129.4,22.8,20.2,0,0,0,5,2,0,7,0.21026972971909436,0.010298439257284409,"[0.004020320825325913, 0.007317192747135354, 0.004091892398969094, 0.005167472543138457]","[0.6052631578947368, 0.9557522123893806, 0.9910714285714286, 1.0, 1.0]","[0.10526315789473684, 0.3893805309734513, 0.7142857142857143, 0.9009009009009009, 0.9818181818181818]",3.0,4,3.240783762112459,11,9.4,14,73.09451162790701,9.473550387596902,0.2272501906941266,0.14282990083905414,0.10364225781845919,0.010526315789473684,0.07719298245614034,0.1518878718535469,0.11958428680396643,0.14031106812282673,0.015128209845557516,0.3333333333333333
f2c44e42803e,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",579,102,73,39,5,0.7156862745098039,4.549019607843137,115.0,20.4,18.6,0,0,0,1,0,0,1,0.21219181306609902,0.0076492552955945425,"[0.0033131937185923166, 0.0006380500920089571, 0.0037930422213488246, 0.007554224559238987]","[0.7156862745098039, 0.9702970297029703, 1.0, 1.0, 1.0]","[0.11764705882352941, 0.43564356435643564, 0.71, 0.8888888888888888, 0.9591836734693877]",3.6,9,3.060622027348971,7,10.0,14,81.01581512605043,7.871831932773109,0.25158124068340787,0.15014791881664946,0.05763215227611512,0.027933723196881092,0.024814814814814814,0.126687306501548,0.14684325192065129,0.15668536274178516,0.011284043151548184,0.3333333333333333
d9c0434bf5f2,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",781,139,89,56,5,0.6402877697841727,4.525179856115108,155.4,27.8,23.6,0,0,0,13,1,0,14,0.20920696525604693,0.0180445856921799,"[0.007822541292611646, 0.007214547448105846, 0.015561900077722013, 0.005490182565920293]","[0.6402877697841727, 0.9710144927536232, 1.0, 1.0, 1.0]","[0.07913669064748201, 0.2898550724637681, 0.5401459854014599, 0.7205882352941176, 0.8592592592592593]",4.0,5,3.1467830409755875,8,11.2,13,68.50541176470591,11.306091503267975,0.26144781144781143,0.1444805194805195,0.05696248196248196,0.027861952861952862,0.10477392977392977,0.1606180856180856,0.11392496392496392,0.14595326289389898,0.01725373877165237,0.3333333333333333
6738cb6cd96e,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",773,128,93,68,5,0.7265625,4.921875,153.8,25.6,23.0,0,0,0,2,2,0,4,0.2141366622184221,0.007523973975824216,"[0.000421679281926407, 0.0075723124305586975, 0.006530061289041961, 0.0005238949501213674]","[0.7265625, 0.984251968503937, 1.0, 1.0, 1.0]","[0.09375, 0.3228346456692913, 0.6190476190476191, 0.816, 0.9274193548387096]",4.8,10,3.5172282975554023,10,10.6,15,66.5448275862069,11.182068965517242,0.2972572516050777,0.15365874061526236,0.10531087270217705,0.03792688792688793,0.040008783487044355,0.1414204153334588,0.10881903925382186,0.1539043957747302,0.007394344846902046,0.25
9f04d88d2e53,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",767,139,85,53,5,0.6115107913669064,4.402877697841727,152.6,27.8,24.4,0,0,0,9,0,0,9,0.20791528091721334,0.012936845470419608,"[0.0035804754648453285, 0.009157086030030875, 0.012895403625248214, 0.00024072582071479887]","[0.6115107913669064, 0.9347826086956522, 0.9927007299270073, 1.0, 1.0]","[0.09352517985611511, 0.3333333333333333, 0.6204379562043796, 0.8602941176470589, 0.9703703703703703]",3.8,5,3.35100783384168,11,13.0,20,68.33238461538463,11.479282051282052,0.22024242424242424,0.15106926406926408,0.12143290043290043,0.02051948051948052,0.08576190476190476,0.14886147186147186,0.1025064935064935,0.13676044315967745,0.019837107449319547,0.16666666666666666
bff04f00b540,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",717,124,77,52,5,0.6209677419354839,4.709677419354839,142.6,24.8,21.6,0,0,0,8,0,0,8,0.2110320003773472,0.00496202261893304,"[0.002264084622391277, 0.004065906623053173, 0.0016259714638515999, 0.001968082528570031]","[0.6209677419354839, 0.943089430894309, 0.9918032786885246, 1.0, 1.0]","[0.0967741935483871, 0.3333333333333333, 0.6229508196721312, 0.7768595041322314, 0.8833333333333333]",2.4,5,3.7177390766523977,11,11.4,14,64.12333333333335,11.022962962962964,0.26847427934384455,0.1391232680363115,0.06142857142857142,0.02691511387163561,0.08163640707118967,0.1691232680363115,0.1415448319796146,0.1711585868909521,0.013603668529051816,0.25
1d24146a3700,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",705,130,86,54,5,0.6615384615384615,4.338461538461538,140.2,26.0,23.0,0,0,0,12,2,0,14,0.20888315835755492,0.012932871584292085,"[0.0015076404962784395, 0.0036459606010597057, 0.012028569858390986, 0.00868357221285504]","[0.6615384615384615, 0.9457364341085271, 1.0, 1.0, 1.0]","[0.08461538461538462, 0.3333333333333333, 0.6796875, 0.905511811023622, 0.9761904761904762]",4.6,10,3.3043591470579807,9,11.8,15,73.74843661971833,10.02825352112676,0.23769151138716357,0.1538302277432712,0.0724679089026915,0.03074327122153209,0.1290496894409938,0.1250600414078675,0.10758385093167702,0.14950003207308574,0.017901352568636397,0.16666666666666666
cd33fb3bc225,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",759,137,94,61,5,0.6861313868613139,4.430656934306569,151.0,27.4,24.8,0,0,0,6,1,0,7,0.20556598103762977,0.011905097356838687,"[0.011471942634809579, 0.002658748550292772, 0.005635192324390331, 0.004044311204184692]","[0.6861313868613139, 0.9779411764705882, 1.0, 1.0, 1.0]","[0.08759124087591241, 0.36764705882352944, 0.6962962962962963, 0.9029850746268657, 0.9699248120300752]",5.2,8,3.3162942474936883,11,10.4,12,76.14053246753248,10.290831168831172,0.24528133903133903,0.17969831094831096,0.09111975986975987,0.03682590557590557,0.047585978835978836,0.1484940984940985,0.11108567358567359,0.15682727329939314,0.02453570720848669,0.25
63b43853a50a,"['llama-3.1', 'low']","['model_type', 'semantic_distance']",565,94,69,48,5,0.7340425531914894,4.946808510638298,112.2,18.8,17.4,0,0,0,8,2,0,10,0.20721998509574444,0.019256567308621936,"[0.0038189119762844503, 0.006942801343070126, 0.01620445365857595, 0.011546967639313344]","[0.7340425531914894, 0.956989247311828, 1.0, 1.0, 1.0]","[0.09574468085106383, 0.3655913978494624, 0.6304347826086957, 0.8461538461538461, 0.9444444444444444]",2.2,3,3.355190998462711,9,9.6,12,70.21146153846156,8.63353846153846,0.2641176470588235,0.21754901960784315,0.10122549019607843,0.041862745098039215,0.10205882352941176,0.09769607843137255,0.09102941176470589,0.1860114700585893,0.021227699092257357,1.0
