result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
56e62c4652cb,"['machine', 'stamp-letter-send']","['sentience', 'id']",356,64,48,35,5,0.75,4.5,71.2,12.8,12.2,0,0,0,4,0,0,4,0.20190379479352166,0.016349171007436422,"[0.0006590204106436959, 0.008742981723376675, 0.0061357468366622925, 0.01716059304419018]","[0.75, 1.0, 1.0, 1.0, 1.0]","[0.15625, 0.5396825396825397, 0.7903225806451613, 0.9180327868852459, 0.9833333333333333]",0.8,1,2.429675697865353,6,5.4,7,92.34600000000002,4.105333333333334,0.20888888888888887,0.16972222222222222,0.11055555555555555,0.09999999999999999,0.059166666666666666,0.1663888888888889,0.055,0.1260435998439789,0.02809940168196312,0.25
dfcbaecfd655,"['machine', 'stamp-letter-send']","['sentience', 'id']",697,124,82,49,5,0.6612903225806451,4.524193548387097,138.6,24.8,22.0,0,0,0,13,0,0,13,0.20656375632602342,0.007410935779194244,"[0.009905468107579807, 0.0023131639238387625, 0.0011177191876957648, 0.0014855203392741545]","[0.6612903225806451, 0.991869918699187, 1.0, 1.0, 1.0]","[0.10483870967741936, 0.42276422764227645, 0.7786885245901639, 0.9256198347107438, 0.9833333333333333]",4.4,7,3.1198839308666733,11,9.4,15,76.89500000000002,9.489999999999998,0.21378963296129713,0.18008426342384362,0.06488977733355544,0.047488755622188905,0.132791937364651,0.10219334777055916,0.09528707868288078,0.11922063708305358,0.01877947861695961,0.2
3590f361b329,"['machine', 'stamp-letter-send']","['sentience', 'id']",735,121,86,60,5,0.7107438016528925,4.958677685950414,146.2,24.2,22.4,0,0,0,7,0,0,7,0.21348513162742228,0.012996533541537958,"[0.0009859769322753675, 0.012129288453322201, 0.012479768022076121, 0.00039803367540222623]","[0.7107438016528925, 0.95, 0.9915966386554622, 1.0, 1.0]","[0.0743801652892562, 0.2833333333333333, 0.6386554621848739, 0.8728813559322034, 0.9743589743589743]",2.0,3,3.7026289564094443,10,8.6,10,67.24708695652174,10.736318840579713,0.30653846153846154,0.16405860805860806,0.07205128205128206,0.016666666666666666,0.06740659340659341,0.14834065934065935,0.1625091575091575,0.11434139013290405,0.004936728014161895,0.16666666666666666
59cf349a7884,"['machine', 'stamp-letter-send']","['sentience', 'id']",538,95,69,45,5,0.7263157894736842,4.557894736842106,106.8,19.0,17.4,0,0,0,8,0,0,8,0.2099528609502195,0.016643466491891856,"[0.0034861257323971218, 0.0028629831851474663, 0.009493597468944487, 0.017444226597294638]","[0.7263157894736842, 0.9893617021276596, 1.0, 1.0, 1.0]","[0.11578947368421053, 0.39361702127659576, 0.7096774193548387, 0.8804347826086957, 0.9340659340659341]",2.4,4,3.0416514221880657,9,8.8,13,81.511,7.256222222222224,0.25166666666666665,0.18388888888888888,0.06555555555555555,0.02222222222222222,0.08444444444444445,0.14555555555555555,0.12333333333333332,0.11033619999885559,0.012001269368567435,0.5
63b43853a50a,"['machine', 'stamp-letter-send']","['sentience', 'id']",565,94,69,48,5,0.7340425531914894,4.946808510638298,112.2,18.8,17.4,0,0,0,8,2,0,10,0.20721998509574444,0.019256567308621936,"[0.0038189119762844503, 0.006942801343070126, 0.01620445365857595, 0.011546967639313344]","[0.7340425531914894, 0.956989247311828, 1.0, 1.0, 1.0]","[0.09574468085106383, 0.3655913978494624, 0.6304347826086957, 0.8461538461538461, 0.9444444444444444]",2.2,3,3.355190998462711,9,9.6,12,70.21146153846156,8.63353846153846,0.2641176470588235,0.21754901960784315,0.10122549019607843,0.041862745098039215,0.10205882352941176,0.09769607843137255,0.09102941176470589,0.1569348418712616,0.017467021077517575,1.0
b2f0cb0ead56,"['machine', 'stamp-letter-send']","['sentience', 'id']",339,66,41,27,5,0.6212121212121212,4.075757575757576,67.8,13.2,11.8,0,0,0,3,0,0,3,0.2091550017014528,0.01174578501118552,"[0.0008068058225843555, 0.0009172068701849834, 0.011038905713293273, 0.010728651616308427]","[0.6212121212121212, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4, 0.640625, 0.8412698412698413, 0.9193548387096774]",1.0,2,2.8519208211143696,8,7.8,9,96.858,3.4760000000000026,0.28646270396270396,0.15796037296037296,0.05651515151515152,0.013333333333333332,0.06508158508158508,0.21372960372960373,0.11395104895104896,0.1599432969093323,0.013596987866100863,1.0
13e40dd8681f,"['machine', 'stamp-letter-send']","['sentience', 'id']",486,85,60,41,5,0.7058823529411765,4.623529411764705,97.0,17.0,16.0,0,0,0,4,0,0,4,0.20946760352064925,0.02591759079548532,"[0.0012031237284342577, 0.012710715664757621, 0.018133652631682567, 0.019787689566096195]","[0.7058823529411765, 0.9761904761904762, 1.0, 1.0, 1.0]","[0.1411764705882353, 0.39285714285714285, 0.6626506024096386, 0.8658536585365854, 0.9629629629629629]",1.8,4,3.0548756798756798,9,7.8,10,79.9198181818182,7.030989898989901,0.24483660130718954,0.17439775910364147,0.12634920634920635,0.025396825396825397,0.04892623716153128,0.18638655462184872,0.07906629318394023,0.11259760022163391,0.01297178422770795,0.25
d0d8d20f0e58,"['machine', 'stamp-letter-send']","['sentience', 'id']",738,126,88,54,5,0.6984126984126984,4.738095238095238,146.8,25.2,22.8,0,0,0,8,1,0,9,0.21592344098954164,0.00992878457426509,"[0.007071712703415833, 0.011292851061531994, 0.00031752471740428834, 0.0011754806661780637]","[0.6984126984126984, 0.984, 1.0, 1.0, 1.0]","[0.10317460317460317, 0.424, 0.75, 0.9105691056910569, 0.9836065573770492]",3.4,7,3.064094205395373,9,9.8,13,71.85300000000001,10.392,0.24526029526029525,0.139996114996115,0.054273504273504275,0.03333333333333333,0.10376845376845377,0.14073426573426573,0.12332944832944832,0.13914445757865906,6.010928992317144e-05,0.5
dc3837eaf679,"['machine', 'stamp-letter-send']","['sentience', 'id']",778,131,92,61,5,0.7022900763358778,4.885496183206107,154.8,26.2,24.0,0,0,0,14,0,0,14,0.2077117560665464,0.011565870965750638,"[0.008644072094348948, 0.0010465518994764722, 0.013063690551630147, 0.0003774273860457089]","[0.7022900763358778, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.0916030534351145, 0.33076923076923076, 0.6434108527131783, 0.859375, 0.9448818897637795]",2.8,6,3.4179844055914104,10,12.2,19,61.86550000000001,11.785055555555555,0.24004629629629629,0.11710185185185185,0.11778703703703704,0.050972222222222224,0.12885185185185186,0.10094444444444445,0.13625925925925925,0.13106446504592895,0.016483479135913637,0.2
b6382f24af2b,"['machine', 'stamp-letter-send']","['sentience', 'id']",493,86,62,46,5,0.7209302325581395,4.674418604651163,98.6,17.2,16.0,4,0,0,3,0,4,3,0.2065936018879287,0.01168696364713094,"[0.001616547556004988, 0.0028241701893039484, 0.0025805882131210434, 0.0163526213358319]","[0.7209302325581395, 1.0, 1.0, 1.0, 1.0]","[0.12790697674418605, 0.4823529411764706, 0.7857142857142857, 0.963855421686747, 1.0]",1.0,2,2.726719532899913,7,6.6,8,81.62890909090909,6.792606060606062,0.23853174603174604,0.15341269841269842,0.09055555555555556,0.07761904761904762,0.08619047619047619,0.14984126984126983,0.0969047619047619,0.11714489817619324,0.018719787493149065,0.16666666666666666
