result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_theme_cluster
b82f8e8363e3,"['machine', 'stamp-letter-send']","['sentience', 'id']",530,91,68,40,3,0.7472527472527473,4.648351648351649,176.33333333333334,30.333333333333332,25.666666666666668,0,0,0,6,0,0,6,0.20678442196968275,0.008723736573488294,"[0.004830597758668537, 0.0038931388148197577]","[0.7472527472527473, 0.9888888888888889, 1.0, 1.0, 1.0]","[0.13186813186813187, 0.45555555555555555, 0.7303370786516854, 0.9318181818181818, 1.0]",5.0,7,3.5064259202851953,9,10.333333333333334,12,70.19891891891892,12.65981981981982,0.26177936672689295,0.16077858506644113,0.06351952229013698,0.03153551429413498,0.05982905982905983,0.1782185830161842,0.14368456797242404,0.11237707954865915,0.018961074715057258,0.16666666666666666,2
3590f361b329,"['machine', 'stamp-letter-send']","['sentience', 'id']",735,121,86,60,5,0.7107438016528925,4.958677685950414,146.2,24.2,22.4,0,0,0,7,0,0,7,0.21348513162742228,0.012996533541537958,"[0.0009859769322753675, 0.012129288453322201, 0.012479768022076121, 0.00039803367540222623]","[0.7107438016528925, 0.95, 0.9915966386554622, 1.0, 1.0]","[0.0743801652892562, 0.2833333333333333, 0.6386554621848739, 0.8728813559322034, 0.9743589743589743]",2.0,3,3.7026289564094443,10,8.6,10,67.24708695652174,10.736318840579713,0.30653846153846154,0.16405860805860806,0.07205128205128206,0.016666666666666666,0.06740659340659341,0.14834065934065935,0.1625091575091575,0.11439812073001156,0.0055596553995782005,0.09090909090909091,4
4056d2dc5f5f,"['machine', 'stamp-letter-send']","['sentience', 'id']",612,100,72,52,4,0.72,5.01,152.25,25.0,22.25,0,0,0,3,0,0,3,0.2123942071765796,0.008765706419944766,"[0.0032929117932464225, 9.617751294915822e-05, 0.00975947032372157]","[0.72, 0.9797979797979798, 1.0, 1.0, 1.0]","[0.12, 0.3939393939393939, 0.673469387755102, 0.8247422680412371, 0.9270833333333334]",2.5,4,4.087993421052632,11,10.0,13,64.36331521739132,11.424239130434785,0.26864661654135336,0.14983082706766918,0.13727443609022555,0.008928571428571428,0.027857142857142858,0.1819172932330827,0.1319736842105263,0.1118060063432764,0.007741504301263524,0.125,0
de5f42d6888e,"['machine', 'stamp-letter-send']","['sentience', 'id']",706,115,84,54,5,0.7304347826086957,5.0,140.4,23.0,20.8,0,2,0,1,1,2,2,0.20911499480947926,0.01587959699513221,"[0.006895402382589316, 0.008915610327607099, 0.005478143337227043, 0.01047003794284096]","[0.7304347826086957, 0.9824561403508771, 1.0, 1.0, 1.0]","[0.11304347826086956, 0.4298245614035088, 0.7699115044247787, 0.9107142857142857, 0.9819819819819819]",3.4,6,3.5415832477714417,11,9.4,13,71.04195522388062,10.008268656716417,0.24808565955117678,0.178297299762817,0.07569968983762088,0.04671136653895275,0.09218755701514322,0.12500501733260355,0.10905947819740923,0.1152381698290507,0.014299929035464232,0.07692307692307693,1
a06d38980792,"['machine', 'stamp-letter-send']","['sentience', 'id']",453,72,55,37,4,0.7638888888888888,5.013888888888889,112.75,18.0,16.25,0,0,0,5,0,0,5,0.21481771091441135,0.008371704485681308,"[0.0027899747093518557, 0.001066293471898766, 0.00870128854727134]","[0.7638888888888888, 1.0, 1.0, 1.0, 1.0]","[0.18055555555555555, 0.6197183098591549, 0.9285714285714286, 1.0, 1.0]",2.5,4,2.5585760195419427,7,8.5,11,88.18125000000003,6.922083333333333,0.24567307692307694,0.14759615384615385,0.060897435897435896,0.08125,0.04967948717948718,0.13637820512820514,0.0858974358974359,0.14693769481447008,0.002894496825600057,0.16666666666666666,2
e3a0a0f60218,"['machine', 'stamp-letter-send']","['sentience', 'id']",784,130,94,56,5,0.7230769230769231,4.884615384615385,156.0,26.0,23.2,0,0,0,10,2,0,12,0.20808757891902677,0.007946813211106407,"[0.00892717368675, 0.0017735047773881352, 0.003196695717898268, 0.0019962522401764105]","[0.7230769230769231, 0.9922480620155039, 1.0, 1.0, 1.0]","[0.09230769230769231, 0.3875968992248062, 0.734375, 0.9212598425196851, 0.9920634920634921]",4.8,12,3.311832817837864,10,10.0,12,69.17140397350995,11.113827814569536,0.2662806749494056,0.18054762574886413,0.05267982791202605,0.025210084033613446,0.09747899159663866,0.13404902630908822,0.11711497996327717,0.1385768872720224,0.016354760816369218,0.16666666666666666,2
880d8838db27,"['machine', 'stamp-letter-send']","['sentience', 'id']",711,119,81,58,6,0.680672268907563,4.840336134453781,117.66666666666667,19.833333333333332,18.166666666666668,0,0,0,14,0,0,14,0.2123657648158088,0.009568227085848625,"[0.0011572180650173403, 0.0009992221991221295, 0.009436090124977953, 0.005486129287980562, 0.006841908037523575]","[0.680672268907563, 0.9915254237288136, 1.0, 1.0, 1.0]","[0.10084033613445378, 0.3220338983050847, 0.5897435897435898, 0.8189655172413793, 0.9304347826086956]",2.0,5,2.844640134236496,7,7.666666666666667,10,73.74091849148422,8.646386861313868,0.30208637535868654,0.12968865400215515,0.06967981548073081,0.008771929824561403,0.11987190197716513,0.141306587725352,0.15707608392963085,0.12596966602184154,0.007798389022805163,0.07692307692307693,1
8b24947ada08,"['machine', 'stamp-letter-send']","['sentience', 'id']",476,81,60,44,4,0.7407407407407407,4.7407407407407405,118.25,20.25,18.0,0,0,0,2,0,0,2,0.21083757457723074,0.019477572753315887,"[0.008330375594752193, 0.011438396714982535, 0.009447586820239107]","[0.7407407407407407, 0.9875, 1.0, 1.0, 1.0]","[0.13580246913580246, 0.3875, 0.6329113924050633, 0.8333333333333334, 0.935064935064935]",2.75,4,3.2573631725417442,11,9.0,13,74.08453947368423,8.826184210526318,0.2887087912087912,0.16667582417582416,0.1067032967032967,0.017857142857142856,0.03524038461538462,0.22599587912087912,0.08009615384615384,0.1283345443231088,0.010854769499961281,0.09090909090909091,4
9ca6a441cfd5,"['machine', 'stamp-letter-send']","['sentience', 'id']",736,135,90,60,5,0.6666666666666666,4.333333333333333,146.4,27.0,23.0,0,0,0,5,0,0,5,0.21030854013680064,0.0047896900029727185,"[0.002276582446766817, 0.0013006796370019502, 0.002306583709332538, 0.0036955342128441315]","[0.6666666666666666, 0.9701492537313433, 1.0, 1.0, 1.0]","[0.08148148148148149, 0.31343283582089554, 0.5488721804511278, 0.7348484848484849, 0.8778625954198473]",2.8,4,3.171674706246135,7,8.4,11,74.03482352941178,10.534849673202618,0.2627194041867955,0.11736714975845411,0.10702697262479871,0.03526972624798712,0.0464110305958132,0.19904790660225444,0.13633252818035427,0.10679830665941592,0.011912838380821467,0.09090909090909091,4
5b106ffc10f7,"['machine', 'stamp-letter-send']","['sentience', 'id']",580,100,76,49,4,0.76,4.65,144.25,25.0,22.25,0,0,0,4,2,0,6,0.21416319800274713,0.011582226902671022,"[0.00019986914773273412, 0.006807287279357255, 0.010366183926916545]","[0.76, 0.98989898989899, 1.0, 1.0, 1.0]","[0.13, 0.41414141414141414, 0.7244897959183674, 0.9381443298969072, 1.0]",3.25,5,3.700630820493834,10,10.0,15,78.08471153846155,9.63459401709402,0.25916666666666666,0.15333333333333335,0.08583333333333333,0.02,0.06333333333333334,0.16333333333333333,0.1,0.12456797008161191,0.004203522648928482,0.07692307692307693,1
