result_id,group_id,group_by,model,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_theme_cluster,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity
R_2LTbPAQf8NZ0wRb_Q2,"['human', 'low']","['sentience', 'semantic_distance']",human,228,45,38,15,3,0.8444444444444444,3.977777777777778,75.33333333333333,15.0,14.333333333333334,0,0,0,3,0,0,3,0.19908607403437298,0.0582850515842438,"[0.047248904903729766, 0.01103614668051403]","[0.8444444444444444, 0.9772727272727273, 1.0, 1.0, 1.0]","[0.26666666666666666, 0.6818181818181818, 0.8837209302325582, 1.0, 1.0]",2.0,4,2.5525744097172667,7,10.333333333333334,13,96.68588235294119,3.996862745098042,0.20050125313283207,0.17042606516290726,0.03508771929824561,0.017543859649122806,0.11779448621553884,0.16541353383458646,0.11779448621553884,0.20032866429356697,0.033400070540849314,0.25,16,0.0291425257921219,0.9643434343434344,0.7664411557434814
R_27PrrUR0LzzSU4k_Q2,"['human', 'low']","['sentience', 'semantic_distance']",human,300,55,39,21,4,0.7090909090909091,4.363636363636363,74.25,13.75,13.0,0,0,0,2,3,0,5,0.20253766519682748,0.010697391487303254,"[0.002056213219960551, 0.006902815046764543, 0.0070870589642297865]","[0.7090909090909091, 0.9629629629629629, 1.0, 1.0, 1.0]","[0.16363636363636364, 0.5370370370370371, 0.8490566037735849, 0.9615384615384616, 1.0]",2.25,4,2.8963601532567047,7,7.0,7,90.12830645161293,4.538870967741939,0.2509018759018759,0.1130050505050505,0.0762987012987013,0.036616161616161616,0.11679292929292928,0.15665584415584416,0.13275613275613274,0.2060795594187616,0.026496888215940317,0.25,34,0.005348695743651627,0.9344107744107744,0.7022536931970894
R_8fKaPcuSHw79GVj_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,811,175,101,53,7,0.5771428571428572,3.565714285714286,115.0,25.0,21.428571428571427,20,0,0,4,0,20,4,0.20612232332997812,0.019147449921047877,"[0.00010208690923357855, 0.017933089818273268, 0.013141177381787966, 0.0049238664763314455, 0.010897127787272143, 0.010445001390245234]","[0.5771428571428572, 0.9540229885057471, 0.9942196531791907, 1.0, 1.0]","[0.06285714285714286, 0.2988505747126437, 0.6127167630057804, 0.8662790697674418, 0.9473684210526315]",5.0,10,2.9547827386879764,9,10.285714285714286,14,88.22500000000002,7.625775075987843,0.1489240311509219,0.18906870440483886,0.04185905131283282,0.0803813833225598,0.15706190168375042,0.10077323236987103,0.12188059839320343,0.18436299249963853,0.019327571949639022,0.125,17,0.009573724960523939,0.905077099765559,0.5576143942791281
R_2XcT1LBVLYHa6hX_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,559,98,71,36,4,0.7244897959183674,4.540816326530612,139.0,24.5,23.25,0,0,1,11,0,0,11,0.21199225584665934,0.003024212740085741,"[0.0005183201847654417, 0.0018792966287055901, 0.0021387022966575797]","[0.7244897959183674, 0.9690721649484536, 1.0, 1.0, 1.0]","[0.14285714285714285, 0.5154639175257731, 0.8333333333333334, 0.9473684210526315, 0.9893617021276596]",3.5,6,2.779546378457182,9,10.5,15,77.36163461538463,9.735448717948717,0.16035817736185384,0.1295538101604278,0.09235739750445633,0.007575757575757576,0.12289717023172905,0.07605002228163993,0.11371991978609626,0.20321791496091676,0.007587706916276582,0.5,28,0.0015121063700428705,0.9387123921733642,0.6856769033793081
R_2eaDBbNJB41Q6MF_Q2,"['human', 'low']","['sentience', 'semantic_distance']",human,722,145,93,51,6,0.6413793103448275,3.910344827586207,119.5,24.166666666666668,20.833333333333332,12,0,0,3,0,12,3,0.20573983786152858,0.027688642291279597,"[0.01417098556246077, 0.004112168720790316, 0.013573260895617612, 0.020976613326506188, 0.016388577222824108]","[0.6413793103448275, 0.9861111111111112, 1.0, 1.0, 1.0]","[0.08275862068965517, 0.3541666666666667, 0.6923076923076923, 0.8802816901408451, 0.9574468085106383]",4.333333333333333,7,3.6323171169649506,10,10.333333333333334,14,82.1205907172996,8.347088607594937,0.18046996576408342,0.17852668845315905,0.07336212262682851,0.015219421101774043,0.15086562402738873,0.1309504357298475,0.10426392779333955,0.20223948330555147,0.02009254288653811,0.2,25,0.013844321145639799,0.9254980842911877,0.5933922956630995
R_87z2b4sr7in6R21_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,552,103,70,35,5,0.6796116504854369,4.271844660194175,109.6,20.6,17.8,0,0,0,14,2,0,16,0.21202621510048875,0.017889146057386243,"[0.0011009822289148874, 0.0041126611213835595, 0.022024242650894893, 0.008540406113579146]","[0.6796116504854369, 0.9901960784313726, 1.0, 1.0, 1.0]","[0.10679611650485436, 0.46078431372549017, 0.8217821782178217, 0.98, 1.0]",3.2,6,2.8955365371955235,8,10.0,13,86.56856637168144,6.799221238938056,0.15403548225887057,0.17164631969729421,0.03250517598343685,0.09985632183908046,0.15175715713571786,0.07308399371742699,0.13286660241307918,0.1854986386391723,0.007519788408617778,0.5,33,0.008944573028693122,0.9339615457833619,0.6738725216896333
R_8kG4d41raqDZBax_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,615,117,67,39,5,0.5726495726495726,4.205128205128205,122.2,23.4,20.0,0,0,0,3,4,0,7,0.21123886550808083,0.0045692530317065355,"[0.0023516228403707984, 0.002090350739539615, 0.0038679235584133387, 0.0008286089250893192]","[0.5726495726495726, 0.9482758620689655, 0.991304347826087, 1.0, 1.0]","[0.10256410256410256, 0.4224137931034483, 0.7130434782608696, 0.9035087719298246, 0.9823008849557522]",4.6,7,2.914650887014343,7,9.6,12,80.68880645161292,8.165870967741938,0.23529411764705882,0.1638655462184874,0.02261904761904762,0.05567226890756302,0.07605042016806722,0.1638655462184874,0.11652661064425769,0.19359757020635512,0.00909448759343362,0.25,23,0.0022846265158532678,0.902445956508925,0.6247662061627994
R_2iUnWVtJB7cvKHj_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,468,92,66,35,7,0.717391304347826,3.9782608695652173,66.0,13.142857142857142,12.285714285714286,8,0,0,6,2,8,8,0.20796037922386362,0.03292200328811766,"[0.02554671367009481, 0.003018720944722497, 0.01735600119545347, 0.00397740446385883, 0.024770909122058316, 0.02409626046816507]","[0.717391304347826, 0.989010989010989, 1.0, 1.0, 1.0]","[0.14130434782608695, 0.5274725274725275, 0.9, 0.9887640449438202, 1.0]",1.8571428571428572,5,2.308292522578237,7,7.142857142857143,11,102.27423076923077,2.6850549450549472,0.1955520669806384,0.14510727367870224,0.014739229024943309,0.03968253968253968,0.1858189429618001,0.058939473225187514,0.12729809872667017,0.18766991143087738,0.015651460161868025,0.25,11,0.016461001644058833,0.941280458671763,0.7115081840484869
R_2JzuWAk6bRQPato_Q1,"['human', 'low']","['sentience', 'semantic_distance']",human,257,52,43,23,3,0.8269230769230769,3.8846153846153846,85.0,17.333333333333332,16.333333333333332,7,0,0,3,0,7,3,0.214579626034371,0.046606273129904924,"[0.025491245407046698, 0.021115027722858226]","[0.8269230769230769, 1.0, 1.0, 1.0, 1.0]","[0.21153846153846154, 0.5882352941176471, 0.84, 0.9387755102040817, 0.9791666666666666]",2.3333333333333335,3,2.973567977915804,7,10.0,12,86.67047619047622,5.807857142857145,0.1707116412998766,0.2204168380638969,0.04079254079254079,0.015151515151515152,0.2115041820924174,0.06485671191553545,0.10585492938434116,0.19768559874840153,0.0024129665408532674,0.25,11,0.023303136564952462,0.9653846153846154,0.7115431865053714
R_8JLzPcPzxxmeT2T_Q2,"['human', 'low']","['sentience', 'semantic_distance']",human,460,81,58,32,4,0.7160493827160493,4.555555555555555,114.25,20.25,18.0,0,0,0,1,3,0,4,0.21079816717293956,0.01106347306435849,"[0.0018719530322638678, 0.0043070553814997525, 0.010416201182774115]","[0.7160493827160493, 0.9875, 1.0, 1.0, 1.0]","[0.16049382716049382, 0.5125, 0.7215189873417721, 0.8717948717948718, 0.961038961038961]",3.25,6,2.785914760914761,6,9.0,11,84.17695652173914,7.232173913043479,0.22452200577200576,0.162630772005772,0.04419191919191919,0.036616161616161616,0.057291666666666664,0.16249549062049062,0.12143759018759018,0.20767108039948548,0.00997588426371615,0.3333333333333333,10,0.005531736532179245,0.9407098765432099,0.6454693294672198
