result_id,group_id,group_by,model,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_theme_cluster,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity
73d9ee812266,"['machine', 'low']","['sentience', 'semantic_distance']",ministral-3b-latest,712,132,84,56,5,0.6363636363636364,4.3106060606060606,141.6,26.4,23.0,0,0,0,3,1,0,4,0.21220402272490713,0.009813849061797011,"[0.002907197403185291, 0.0019513236063261885, 0.003424272031086445, 0.011344905082996098]","[0.6363636363636364, 0.9312977099236641, 0.9769230769230769, 1.0, 1.0]","[0.08333333333333333, 0.2900763358778626, 0.5923076923076923, 0.813953488372093, 0.9375]",3.6,6,3.2989268150370927,10,11.0,17,85.41908609271526,8.847602649006621,0.3076748251748252,0.14054195804195804,0.07231643356643357,0.020192307692307693,0.05178321678321678,0.16963286713286713,0.10337412587412588,0.1619636911366667,0.011987222158029942,0.3333333333333333,12,0.004906924530898506,0.9089168846420754,0.5434341699781963
dc3837eaf679,"['machine', 'low']","['sentience', 'semantic_distance']",claude-3-5-sonnet-20240620,778,131,92,61,5,0.7022900763358778,4.885496183206107,154.8,26.2,24.0,0,0,0,14,0,0,14,0.2077117560665464,0.011565870965750638,"[0.008644072094348948, 0.0010465518994764722, 0.013063690551630147, 0.0003774273860457089]","[0.7022900763358778, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.0916030534351145, 0.33076923076923076, 0.6434108527131783, 0.859375, 0.9448818897637795]",2.8,6,3.4179844055914104,10,12.2,19,61.86550000000001,11.785055555555555,0.24004629629629629,0.11710185185185185,0.11778703703703704,0.050972222222222224,0.12885185185185186,0.10094444444444445,0.13625925925925925,0.15926543410335267,0.020971755474751386,0.3333333333333333,9,0.005782935482875319,0.9373810921902525,0.5740080053362606
013d09d77e4d,"['machine', 'low']","['sentience', 'semantic_distance']",mistral-large-latest,452,82,61,34,5,0.7439024390243902,4.329268292682927,89.6,16.4,15.2,0,0,0,3,3,0,6,0.212537034628863,0.004198159774144505,"[0.0007608107158115773, 0.0027551440965561946, 0.004101843544931122, 0.0007785211909901169]","[0.7439024390243902, 0.9382716049382716, 0.9875, 1.0, 1.0]","[0.12195121951219512, 0.3333333333333333, 0.65, 0.8354430379746836, 0.9358974358974359]",2.6,5,2.7703970078452835,7,7.2,10,101.08900000000003,4.128000000000004,0.29173160173160173,0.17417748917748918,0.060876623376623376,0.0,0.10432900432900433,0.14454545454545453,0.12898268398268398,0.156420714621033,0.011321198350118189,0.25,18,0.0020990798870722527,0.9339348087925323,0.5753250053435296
6c779472cc45,"['machine', 'low']","['sentience', 'semantic_distance']",Phi-3-small-8k-instruct,541,96,68,46,5,0.7083333333333334,4.552083333333333,107.4,19.2,17.2,0,0,0,3,1,0,4,0.21027714250168364,0.012956792739924394,"[0.0037506921724839437, 0.005955821937984884, 0.010829389095306396, 0.005377682274073564]","[0.7083333333333334, 0.9894736842105263, 1.0, 1.0, 1.0]","[0.125, 0.37894736842105264, 0.723404255319149, 0.946236559139785, 0.9891304347826086]",2.6,5,2.968453557312253,8,10.4,14,79.96605660377361,7.372339622641508,0.28025702949801623,0.19915646023805417,0.0664326375711575,0.02821631878557875,0.05529411764705883,0.17211316198033466,0.0564326375711575,0.15448336196797235,0.015840982604476916,0.07692307692307693,1,0.006478396369962197,0.9395614035087719,0.6325437235325191
8b24947ada08,"['machine', 'low']","['sentience', 'semantic_distance']",mistral-small-latest,476,81,60,44,4,0.7407407407407407,4.7407407407407405,118.25,20.25,18.0,0,0,0,2,0,0,2,0.21083757457723074,0.019477572753315887,"[0.008330375594752193, 0.011438396714982535, 0.009447586820239107]","[0.7407407407407407, 0.9875, 1.0, 1.0, 1.0]","[0.13580246913580246, 0.3875, 0.6329113924050633, 0.8333333333333334, 0.935064935064935]",2.75,4,3.2573631725417442,11,9.0,13,74.08453947368423,8.826184210526318,0.2887087912087912,0.16667582417582416,0.1067032967032967,0.017857142857142856,0.03524038461538462,0.22599587912087912,0.08009615384615384,0.1542430200747081,0.014720118453382725,0.09090909090909091,10,0.009738786376657945,0.9456481481481481,0.5849224259878268
287687488133,"['machine', 'low']","['sentience', 'semantic_distance']",grok-beta,872,153,99,66,5,0.6470588235294118,4.594771241830065,173.6,30.6,26.2,0,0,0,5,1,0,6,0.2133724571941616,0.0047834403871603315,"[0.0008895923392941152, 0.0018216904277115753, 0.0038315169762702106, 0.003024081031044762]","[0.6470588235294118, 0.9671052631578947, 0.9933774834437086, 1.0, 1.0]","[0.08496732026143791, 0.32894736842105265, 0.6225165562913907, 0.8266666666666667, 0.9463087248322147]",4.4,7,4.150392069080322,13,12.8,16,68.04432369942198,12.36411560693642,0.2834551083591331,0.12510835913312693,0.07215067079463364,0.02519298245614035,0.06722600619195046,0.15782043343653251,0.13779772961816306,0.157528179032462,0.009650353219521013,0.25,14,0.0023917201935801657,0.921508314026203,0.5618813272945525
e7745b30528b,"['machine', 'low']","['sentience', 'semantic_distance']",command-r-plus,568,100,66,43,5,0.66,4.5,112.8,20.0,17.8,0,0,0,6,0,0,6,0.2071049427933339,0.03665442293525761,"[0.013730619198236704, 0.034814790884653724, 0.022972060166872477, 0.0017913756207523224]","[0.66, 0.9696969696969697, 0.9897959183673469, 1.0, 1.0]","[0.1, 0.41414141414141414, 0.7244897959183674, 0.8969072164948454, 0.9791666666666666]",3.6,4,2.8343458492726787,7,7.8,10,88.12505882352941,6.88023529411765,0.255489417989418,0.13855820105820105,0.10469576719576719,0.031746031746031744,0.06507936507936507,0.1603174603174603,0.1257936507936508,0.15822741176400865,0.02218538202117637,0.14285714285714285,7,0.018327211467628807,0.9238985776128633,0.6229410186442587
b82f8e8363e3,"['machine', 'low']","['sentience', 'semantic_distance']",nemotron-4-340b-instruct,530,91,68,40,3,0.7472527472527473,4.648351648351649,176.33333333333334,30.333333333333332,25.666666666666668,0,0,0,6,0,0,6,0.20678442196968275,0.008723736573488294,"[0.004830597758668537, 0.0038931388148197577]","[0.7472527472527473, 0.9888888888888889, 1.0, 1.0, 1.0]","[0.13186813186813187, 0.45555555555555555, 0.7303370786516854, 0.9318181818181818, 1.0]",5.0,7,3.5064259202851953,9,10.333333333333334,12,70.19891891891892,12.65981981981982,0.26177936672689295,0.16077858506644113,0.06351952229013698,0.03153551429413498,0.05982905982905983,0.1782185830161842,0.14368456797242404,0.15443403380257742,0.0228264236684787,0.16666666666666666,2,0.004361868286744147,0.9472283272283273,0.6499157895787109
3ee8b18a7400,"['machine', 'low']","['sentience', 'semantic_distance']",llama-3.1-405b-instruct,611,109,72,52,5,0.6605504587155964,4.504587155963303,121.4,21.8,19.4,0,0,0,11,1,0,12,0.20862051822121505,0.023964556850693916,"[0.0027221863814180236, 0.02632815741529368, 0.01623078388999208, 0.0026479860146840506]","[0.6605504587155964, 1.0, 1.0, 1.0, 1.0]","[0.10091743119266056, 0.35185185185185186, 0.616822429906542, 0.8113207547169812, 0.9142857142857143]",2.8,4,3.0298267824129894,9,8.4,10,78.09514049586781,8.378578512396697,0.2561972667855021,0.14983957219251337,0.04707070707070707,0.039037433155080216,0.1118597742127154,0.17161021984551397,0.15140819964349375,0.16641457698174886,0.019154231165414093,0.125,0,0.011982278425346958,0.9321100917431193,0.5590396363907499
39a2f5aaa0a9,"['machine', 'low']","['sentience', 'semantic_distance']",qwen-2.5-coder-32b-instruct,427,75,53,35,3,0.7066666666666667,4.586666666666667,141.66666666666666,25.0,22.0,0,0,0,6,2,0,8,0.2116947286269244,0.017730071314670803,"[0.013003435851016765, 0.004726635463654039]","[0.7066666666666667, 0.9864864864864865, 1.0, 1.0, 1.0]","[0.13333333333333333, 0.44594594594594594, 0.7123287671232876, 0.8472222222222222, 0.9154929577464789]",2.0,3,3.6592007026789637,11,11.666666666666666,16,75.56137254901964,9.758823529411767,0.22571740243549498,0.14624101159865535,0.09534940670985552,0.04249871991807475,0.10650281618023553,0.16872592889423182,0.14860081479997328,0.15201548114418983,0.013005810353995395,0.125,0,0.008865035657335402,0.9386306306306307,0.6108646452742535
8b3c1f19311e,"['machine', 'low']","['sentience', 'semantic_distance']",granite-3.0-2b-instruct,821,149,95,63,6,0.6375838926174496,4.389261744966443,136.0,24.833333333333332,21.5,0,0,0,11,2,0,13,0.2113913014431947,0.014369388133839889,"[0.0012588623497221119, 0.012690456402607464, 0.01050096662926589, 0.00872783567998317, 0.002745349273021086]","[0.6375838926174496, 0.9391891891891891, 0.9931972789115646, 1.0, 1.0]","[0.08053691275167785, 0.3581081081081081, 0.673469387755102, 0.8561643835616438, 0.9586206896551724]",3.6666666666666665,7,3.2582787972323057,10,10.666666666666666,14,85.76042635658916,8.419069767441862,0.24297002280873248,0.1378286901270772,0.07743198110133594,0.039879032258064516,0.09336917562724015,0.14845470837406322,0.11847751710654936,0.15167215626154626,0.013612664721454781,0.14285714285714285,19,0.0071846940669199446,0.9139940721436407,0.5853798963663408
e3a0a0f60218,"['machine', 'low']","['sentience', 'semantic_distance']",claude-3-opus-20240229,784,130,94,56,5,0.7230769230769231,4.884615384615385,156.0,26.0,23.2,0,0,0,10,2,0,12,0.20808757891902677,0.007946813211106407,"[0.00892717368675, 0.0017735047773881352, 0.003196695717898268, 0.0019962522401764105]","[0.7230769230769231, 0.9922480620155039, 1.0, 1.0, 1.0]","[0.09230769230769231, 0.3875968992248062, 0.734375, 0.9212598425196851, 0.9920634920634921]",4.8,12,3.311832817837864,10,10.0,12,69.17140397350995,11.113827814569536,0.2662806749494056,0.18054762574886413,0.05267982791202605,0.025210084033613446,0.09747899159663866,0.13404902630908822,0.11711497996327717,0.16221898421645164,0.020220109769790662,0.16666666666666666,2,0.003973406605553204,0.9430649970184853,0.6255205852231351
